X,Y,color,group,group_num,coverage,pc1_pcnt,pc2_pcnt
0.032541372,-0.019594094,blue,chesapeake bay,4,0.5,5.9561095,5.2750583
0.1496581,0.072851606,orange,coastal mainland,5,0.5,5.9561095,5.2750583
-0.05129319,0.14345564,gray,coastal mainland,5,0.5,5.9561095,5.2750583
0.06720913,-0.038301498,blue,maine,9,0.5,5.9561095,5.2750583
-0.018733492,0.13978127,gray,coastal mainland,5,0.5,5.9561095,5.2750583
0.04709982,-0.22535108,pink,coastal mainland,5,0.5,5.9561095,5.2750583
0.047555804,-0.24452241,pink,coastal mainland,5,0.5,5.9561095,5.2750583
0.05285668,-0.1972859,pink,coastal mainland,5,0.5,5.9561095,5.2750583
0.1985387,0.09695351,orange,maine,9,0.5,5.9561095,5.2750583
-0.13000074,0.16393176,gray,coastal mainland,5,0.5,5.9561095,5.2750583
0.16970503,0.20560658,blue,inland virginia,6,0.5,5.9561095,5.2750583
0.028572137,0.010982007,blue,coastal mainland,5,0.5,5.9561095,5.2750583
0.07472295,0.028899051,gray,coastal mainland,5,0.5,5.9561095,5.2750583
0.023722785,-0.18737903,pink,barrier island,1,0.5,5.9561095,5.2750583
0.04638186,0.01990877,blue,maine,9,0.5,5.9561095,5.2750583
-0.059673827,-0.04385645,blue,barrier island,2,0.5,5.9561095,5.2750583
0.16904257,0.20787834,blue,inland virginia,6,0.5,5.9561095,5.2750583
-0.049400378,-0.051582735,blue,chesapeake bay,4,0.5,5.9561095,5.2750583
0.19333293,0.09509313,orange,inland new york,8,0.5,5.9561095,5.2750583
-0.06635842,0.0054176697,blue,coastal mainland,5,0.5,5.9561095,5.2750583
-0.2210815,0.03386657,red,barrier island,3,0.5,5.9561095,5.2750583
0.19603471,0.102155596,orange,inland maryland,7,0.5,5.9561095,5.2750583
-0.06349635,-0.053129297,blue,barrier island,2,0.5,5.9561095,5.2750583
0.16838314,0.03383214,orange,inland maryland,7,0.5,5.9561095,5.2750583
-0.24778858,0.10693695,red,barrier island,3,0.5,5.9561095,5.2750583
0.05516503,-0.21677823,pink,coastal mainland,5,0.5,5.9561095,5.2750583
-0.0033926005,-0.06926851,blue,chesapeake bay,4,0.5,5.9561095,5.2750583
-0.019711992,-0.09035079,blue,barrier island,1,0.5,5.9561095,5.2750583
0.06725847,0.005950864,blue,inland new york,8,0.5,5.9561095,5.2750583
-0.24842936,0.047597937,red,barrier island,3,0.5,5.9561095,5.2750583
0.08428773,0.03973536,gray,maine,9,0.5,5.9561095,5.2750583
0.022205656,-0.1789901,pink,barrier island,2,0.5,5.9561095,5.2750583
-0.07882661,-0.008491104,blue,barrier island,1,0.5,5.9561095,5.2750583
