X,Y,color,group,coverage
0.032541372,-0.019594094,orange,chesapeake,0.5
0.1496581,0.072851606,red,coastal,0.5
-0.05129319,0.14345564,pink,coastal,0.5
0.06720913,-0.038301498,orange,maine,0.5
-0.018733492,0.13978127,purple,coastal,0.5
0.04709982,-0.22535108,red,coastal,0.5
0.047555804,-0.24452241,red,coastal,0.5
0.05285668,-0.1972859,red,coastal,0.5
0.1985387,0.09695351,red,maine,0.5
-0.13000074,0.16393176,purple,coastal,0.5
0.16970503,0.20560658,orange,inland,0.5
0.028572137,0.010982007,orange,coastal,0.5
0.07472295,0.028899051,red,coastal,0.5
0.023722785,-0.18737903,red,barrier,0.5
0.04638186,0.01990877,red,maine,0.5
-0.059673827,-0.04385645,blue,barrier,0.5
0.16904257,0.20787834,orange,inland,0.5
-0.049400378,-0.051582735,blue,chesapeake,0.5
0.19333293,0.09509313,red,inland,0.5
-0.06635842,0.0054176697,blue,coastal,0.5
-0.2210815,0.03386657,blue,barrier,0.5
0.19603471,0.102155596,red,inland,0.5
-0.06349635,-0.053129297,blue,barrier,0.5
0.16838314,0.03383214,red,inland,0.5
-0.24778858,0.10693695,blue,barrier,0.5
0.05516503,-0.21677823,red,coastal,0.5
-0.0033926005,-0.06926851,orange,chesapeake,0.5
-0.019711992,-0.09035079,orange,barrier,0.5
0.06725847,0.005950864,red,inland,0.5
-0.24842936,0.047597937,blue,barrier,0.5
0.08428773,0.03973536,red,maine,0.5
0.022205656,-0.1789901,red,barrier,0.5
-0.07882661,-0.008491104,blue,barrier,0.5
0.025027432,-0.22146009,red,coastal,0.5
-0.009072436,-0.068579204,orange,barrier,0.5
-0.24933046,0.10806105,blue,barrier,0.5
-0.18898186,0.0673704,blue,chesapeake,0.5
0.07925652,-0.07959425,red,maine,0.5
0.022374062,-0.17918357,red,barrier,0.5
-0.053246833,-0.0015881404,blue,coastal,0.5
0.010797716,-0.06298175,orange,coastal,0.5
0.19702354,0.15226507,red,inland,0.5
0.17000197,0.20931113,orange,inland,0.5
0.06878777,0.0050638765,red,inland,0.5
-0.24191765,0.04679708,blue,barrier,0.5
0.020344011,-0.008820279,orange,barrier,0.5
-0.047751088,-0.039429963,blue,barrier,0.5
0.06650639,0.0054286188,red,inland,0.5
0.014794754,0.028176993,blue,maine,0.5
0.16883855,0.20299272,orange,inland,0.5
-0.04861296,-0.053640537,blue,chesapeake,0.5
-0.22067319,0.03358627,blue,barrier,0.5
-0.04824804,-0.041865695,blue,barrier,0.5
-0.05725341,0.15547396,gray,coastal,0.5
-0.25348684,0.1075561,blue,barrier,0.5
0.084465116,0.038903393,red,inland,0.5
0.0032431528,-0.22117522,red,barrier,0.5
0.13335723,0.14999181,orange,inland,0.5
0.028063115,-0.22346735,red,coastal,0.5
0.071956225,-0.19412994,red,maine,0.5
-0.059637792,-0.043477103,blue,barrier,0.5
-0.030528614,-0.076608665,blue,coastal,0.5
-0.04721407,-0.03863214,blue,barrier,0.5
-0.241452,0.056568798,blue,barrier,0.5
0.070961766,-0.2071978,red,inland,0.5
-0.05848242,0.15184762,pink,coastal,0.5
0.15426931,-0.0013830033,red,maine,0.5
-0.04866798,-0.05172346,blue,coastal,0.5
-0.013905376,0.015130651,blue,chesapeake,1.5
-0.09349271,-0.013080326,blue,coastal,1.5
-0.026631761,0.01834576,blue,coastal,1.5
-0.12048177,-0.047400497,blue,maine,1.5
-0.035281822,0.037082583,blue,coastal,1.5
-0.031505603,0.018171856,blue,coastal,1.5
-0.03395091,0.051973473,blue,coastal,1.5
-0.043369163,0.027629595,blue,coastal,1.5
-0.1165328,-0.03778636,blue,maine,1.5
0.080667324,0.46788618,purple,coastal,1.5
-0.1332755,-0.04942081,orange,inland,1.5
