#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	25306769	154530610	99.6686	23.824	35.9	49.6
NC_080431.1	1	121038451	20857582	120628653	99.6614	25.1067	35.9	46.9
NC_080432.1	1	116058627	19193349	115718857	99.7072	24.1774	35.9	49.5
NC_080433.1	1	75532323	11911035	75302828	99.6962	22.9027	35.9	50.3
NC_080434.1	1	74254230	12971427	74120297	99.8196	25.437	35.8	47.4
NC_080435.1	1	64434786	12881198	64225234	99.6748	29.2176	35.8	41.5
NC_080436.1	1	41113200	6774532	40999715	99.724	24.0262	36	48.7
NC_080437.1	1	37718192	6043591	37482453	99.375	23.2333	35.9	51.5
NC_080438.1	1	32012489	5062725	31946281	99.7932	23.0101	35.9	53.7
NC_080439.1	1	25975538	3919246	25912093	99.7558	21.9527	36	57.6
NC_080440.1	1	23937375	3753824	23793076	99.3972	22.7619	36	52.2
NC_080441.1	1	21246031	4463877	21202186	99.7936	30.4199	36	42.2
NC_080442.1	1	20908400	3339100	20868212	99.8078	23.1722	36	54.6
NC_080443.1	1	20828029	3334770	20765461	99.6996	23.2679	36	53.7
NC_080444.1	1	19163621	3319055	19127523	99.8116	25.0889	36	49.5
NC_080445.1	1	17259260	3218563	17021286	98.6212	27.0529	36	47.3
NC_080446.1	1	15772524	3344954	15732967	99.7492	30.754	36	42.7
NC_080447.1	1	14594892	2485261	14554907	99.726	24.3863	35.9	53.3
NC_080448.1	1	13647849	5065611	13533865	99.1648	54.0154	36	22.7
NC_080449.1	1	13139134	2585649	13098221	99.6886	28.2137	35.9	43.6
NC_080450.1	1	12685073	2623134	12638885	99.6359	29.6605	35.9	43
NC_080451.1	1	11415287	3086152	11293505	98.9332	38.4123	35.9	30.7
NC_080452.1	1	10664763	2950738	10599834	99.3912	38.8222	35.9	32.1
NC_080453.1	1	9760545	1992758	9686913	99.2456	28.8338	35.9	40.1
NC_080454.1	1	8390233	2541437	8141484	97.0353	41.8614	35.9	29.1
NC_080455.1	1	7681223	1418864	7542742	98.1971	25.9555	35.8	43.3
NC_080456.1	1	7148689	1159215	7093000	99.221	22.9242	35.9	55.6
NC_080457.1	1	6818969	1343235	6723884	98.6056	27.3023	35.8	49.2
NC_080458.1	1	6746589	1883728	6626667	98.2225	38.2322	35.9	24.1
NC_080459.1	1	5829678	2998322	5676921	97.3797	69.6214	35.6	15.4
NC_080460.1	1	4651408	796417	4459448	95.8731	22.8512	35.7	51.3
NC_080461.1	1	4540688	1818652	4505482	99.2247	54.2098	35.9	28.4
NC_080462.1	1	3521296	686295	3447885	97.9152	23.9037	35.5	47.2
NC_080463.1	1	1086347	675829	1061991	97.758	76.6087	35.7	24.2
NC_080464.1	1	34706425	6014621	34487879	99.3703	24.4105	35.9	15.1
NC_080465.1	1	83426660	6768752	82103918	98.4145	11.5853	35.8	47.2
NW_026652215.1	1	10891332	5035404	10608763	97.4056	65.783	36	23.5
NW_026652216.1	1	3851306	1695760	3841703	99.7507	63.7697	36	13.5
NW_026652217.1	1	2471679	1300374	2463428	99.6662	74.9872	36	1.61
NW_026652218.1	1	2047835	1046919	1948514	95.15	71.085	35.9	13.4
