#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	26372174	155109569	99.7825	24.9396	35.9	58.5
NC_080634.1	1	120722141	20140680	120330038	99.6752	24.5518	35.9	57.7
NC_080635.1	1	115508148	19513799	115329683	99.8455	24.8619	35.9	58.7
NC_080636.1	1	76633907	12914105	76526948	99.8604	24.773	35.9	57.1
NC_080637.1	1	74723840	12720788	74447584	99.6303	25.0297	35.9	57.3
NC_080638.1	1	65395694	11239327	65109338	99.5621	25.1933	35.9	56
NC_080639.1	1	40159020	6951517	40106457	99.8691	25.4208	35.9	56.1
NC_080640.1	1	39623761	6691370	39431492	99.5148	24.7283	35.9	55.2
NC_080641.1	1	36565514	7110444	35634649	97.4543	28.413	35.9	51.5
NC_080642.1	1	27615464	4663069	27556859	99.7878	24.6906	35.9	56.1
NC_080643.1	1	22630956	4004605	22604738	99.8841	25.8833	36	54.5
NC_080644.1	1	22262677	4242984	20722152	93.0802	27.4446	35.8	39.3
NC_080645.1	1	21551278	3769587	21520951	99.8593	25.5908	35.9	56.2
NC_080646.1	1	21049297	3889253	21024000	99.8798	27.02	35.9	55.4
NC_080647.1	1	20566687	3515405	20545584	99.8974	24.9971	35.9	56.8
NC_080648.1	1	19511261	3270393	19408095	99.4712	24.4417	35.9	56.3
NC_080649.1	1	18006652	3448493	17990781	99.9119	27.9385	35.9	51.6
NC_080650.1	1	14921164	2489208	14896738	99.8363	24.2651	35.9	57.1
NC_080651.1	1	12555122	2146793	12519259	99.7144	24.755	35.9	55.3
NC_080652.1	1	12239593	2006795	12211841	99.7733	23.6228	35.9	56.8
NC_080653.1	1	12036358	1955362	11966936	99.4232	23.6149	35.9	56.7
NC_080654.1	1	9592563	2002521	9558267	99.6425	30.2153	35.9	40.1
NC_080655.1	1	8416863	1277363	8152639	96.8608	21.4202	35.6	51.7
NC_080656.1	1	8296844	1308874	8270268	99.6797	22.6866	35.8	56.3
NC_080657.1	1	7670679	1210908	7642234	99.6292	22.565	35.8	56.1
NC_080658.1	1	7190956	1096268	7148154	99.4048	21.4098	35.7	50.6
NC_080659.1	1	6772285	1039284	6726800	99.3284	21.688	35.8	53.8
NC_080660.1	1	6625760	1069388	6547618	98.8206	21.7165	35.5	42.3
NC_080661.1	1	5159369	1730632	5068089	98.2308	47.0032	35.9	21.4
NC_080662.1	1	4987572	773066	4954892	99.3448	21.793	35.7	54.5
NC_080663.1	1	4462882	747246	4384057	98.2338	22.6679	35.7	36.1
NC_080664.1	1	3987155	614044	3955440	99.2046	20.6944	35.6	37.9
NC_080665.1	1	3511113	660209	3467448	98.7564	26.9725	35.9	22.8
NC_080666.1	1	2644149	908346	2609727	98.6982	46.2383	35.8	23.6
NC_080667.1	1	2575056	448899	2549380	99.0029	22.2931	35.6	32.6
NC_080668.1	1	21546180	464029	4968643	23.0604	2.84457	35.8	11
NC_080669.1	1	89147626	14733324	87834047	98.5265	24.2338	35.9	52.2
NW_026683182.1	1	233636	32001	223944	95.8517	20.0761	36	0.489
NW_026683183.1	1	222717	86485	220891	99.1801	56.1928	36	0.76
NW_026683184.1	1	210713	14578	195110	92.5951	10.1547	35.9	0.469
NW_026683185.1	1	28662	8165	28654	99.9721	41.001	36	31.4
NW_026683186.1	1	991617	62468	968216	97.6401	8.46502	35.8	3.65
NW_026683187.1	1	4516909	978620	4439109	98.2776	31.1835	35.8	1.81
NW_026683188.1	1	4117062	578463	3813702	92.6316	19.7435	35.7	23.2
NW_026683189.1	1	3129419	813981	3110027	99.3803	37.4827	35.7	4.67
NW_026683190.1	1	2445016	285175	2415461	98.7912	16.6372	35.7	2.14
NW_026683191.1	1	2162463	556704	2145771	99.2281	36.6468	35.8	2.22
NW_026683192.1	1	2091851	826886	2077372	99.3078	57.2732	36	15.9
NW_026683193.1	1	2024811	461780	2012323	99.3833	32.6784	35.9	14.1
NW_026683194.1	1	1508116	74779	1248685	82.7977	7.15555	35.7	2.04
NW_026683195.1	1	1446652	118758	1400015	96.7762	10.2546	33.4	1.81
NW_026683196.1	1	1315579	74651	1171673	89.0614	8.04099	35.8	19
NW_026683197.1	1	1181476	83128	1163422	98.4719	10.2367	35.8	1.12
NW_026683198.1	1	1067410	96751	1056965	99.0215	13.2502	35.8	1.81
NW_026683199.1	1	1037885	72284	1025894	98.8447	10.1689	35.8	1.18
NW_026683200.1	1	1022493	373579	1020584	99.8133	53.0013	36	0.558
NW_026683201.1	1	989550	73349	975265	98.5564	10.7926	35.8	1.12
NW_026683202.1	1	973116	45623	941906	96.7928	6.79722	35.8	1.47
NW_026683203.1	1	921264	29103	791990	85.9678	4.48684	35.6	1.26
NW_026683204.1	1	912953	36767	864944	94.7414	5.81574	35.6	1.93
NW_026683205.1	1	792231	28827	745126	94.0541	5.27838	35.8	2.34
NW_026683206.1	1	702247	50257	695129	98.9864	10.3914	35.8	1.05
NW_026683207.1	1	677195	196263	673044	99.387	41.7168	35.9	5.47
