#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	23637886	156773505	99.7586	22.1253	35.9	55.8
NC_080594.1	1	122006711	18290708	121757640	99.7959	22.0401	35.9	54.5
NC_080595.1	1	119294532	18490771	119090201	99.8287	22.7582	35.9	53.6
NC_080596.1	1	78532051	11797700	78338519	99.7536	22.0802	35.9	53.2
NC_080597.1	1	78443464	12162383	78315279	99.8366	22.7527	35.9	52.2
NC_080598.1	1	66577810	10688299	66491793	99.8708	23.5375	35.9	52.5
NC_080599.1	1	48796610	8026133	46619671	95.5387	23.913	35.9	41.2
NC_080600.1	1	44359421	7881845	44296258	99.8576	25.9844	35.9	44
NC_080601.1	1	39273983	6842263	39195327	99.7997	25.5249	35.9	48.6
NC_080602.1	1	28492116	4900807	28409785	99.711	25.1753	35.9	40.3
NC_080603.1	1	28002281	4616122	27964717	99.8659	24.1662	35.9	52.7
NC_080604.1	1	22576299	3730018	22552380	99.8941	24.2013	35.9	55.5
NC_080605.1	1	22481186	3764162	22460324	99.9072	24.55	35.9	52.6
NC_080606.1	1	20337689	3397678	20318742	99.9068	24.5027	35.9	55.7
NC_080607.1	1	19942864	4089979	19912979	99.8501	29.8218	35.9	40.3
NC_080608.1	1	18829917	3123361	18784201	99.7572	24.286	35.9	57
NC_080609.1	1	17718754	3259668	17694027	99.8604	26.9613	35.9	52.8
NC_080610.1	1	15993217	2775124	15976014	99.8924	25.2691	35.9	51.8
NC_080611.1	1	13147743	2340970	13100548	99.641	25.9325	35.9	52.2
NC_080612.1	1	12882169	2375474	12865177	99.8681	26.8929	35.9	48.3
NC_080613.1	1	12454605	2234775	12240993	98.2849	26.1463	35.9	52.6
NC_080614.1	1	10553010	1841625	10521385	99.7003	25.3398	35.8	44.7
NC_080615.1	1	9378704	1672442	9223767	98.348	25.8303	35.8	48.8
NC_080616.1	1	8927691	1659677	8665585	97.0641	26.3328	35.6	44.7
NC_080617.1	1	8120544	1429608	8102780	99.7812	25.4489	35.8	51.9
NC_080618.1	1	8025706	1365841	7924361	98.7372	24.2923	35.7	38.6
NC_080619.1	1	7633124	1397382	7605523	99.6384	26.2057	35.7	45.8
NC_080620.1	1	6574567	1218485	6553555	99.6804	26.6308	35.7	52
NC_080621.1	1	6473977	1122251	6392333	98.7389	24.2683	35.5	29.9
NC_080622.1	1	5774740	1096632	5737478	99.3547	26.6488	35.5	44.4
NC_080623.1	1	5330327	973652	5300936	99.4486	25.4369	35.4	42.7
NC_080624.1	1	4945601	928694	4917759	99.437	24.8361	35.3	35.1
NC_080625.1	1	4849416	1064825	4446575	91.693	30.5637	35.6	38.7
NC_080626.1	1	4512749	899632	4051729	89.7841	27.4994	35.5	31.7
NC_080627.1	1	2596542	597541	2495253	96.0991	30.6825	35.2	32.3
NW_026682903.1	1	51867	8281	51623	99.5296	20.1468	34.2	53.7
NW_026682904.1	1	41887	4313	39809	95.039	12.4726	33.8	33
NC_080628.1	1	2074683	390478	2035986	98.1348	25.269	35	44.2
