#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	23496758	155111497	99.7838	22.2628	36.1	56.3
NC_080634.1	1	120722141	18175418	120364948	99.7041	22.2305	36.1	55.2
NC_080635.1	1	115508148	16913367	115370945	99.8812	21.6259	36.1	58
NC_080636.1	1	76633907	11833650	76559782	99.9033	22.7558	36.1	53.6
NC_080637.1	1	74723840	12168498	74470298	99.6607	24.021	36.1	51.8
NC_080638.1	1	65395694	11631879	64991227	99.3815	26.1711	36.1	47.3
NC_080639.1	1	40159020	6302373	40093248	99.8362	23.1644	36.1	54
NC_080640.1	1	39623761	7221508	39346667	99.3007	26.7887	36.1	44.9
NC_080641.1	1	36565514	7456726	35834544	98.0009	29.9489	36.1	46.6
NC_080642.1	1	27615464	4243685	27540819	99.7297	22.5989	36.1	55.1
NC_080643.1	1	22630956	4313510	22592816	99.8315	28.0916	36.1	45.9
NC_080644.1	1	22262677	5752519	20728610	93.1092	37.4878	36	28.8
NC_080645.1	1	21551278	3428110	21534719	99.9232	23.4055	36.1	55.2
NC_080646.1	1	21049297	3474796	21031070	99.9134	24.272	36.1	55
NC_080647.1	1	20566687	3640661	20553533	99.936	26.0647	36.1	49.9
NC_080648.1	1	19511261	3262859	19386823	99.3622	24.544	36.1	51.5
NC_080649.1	1	18006652	3172533	17995197	99.9364	25.8719	36.1	50.8
NC_080650.1	1	14921164	2345947	14903352	99.8806	23.0157	36.1	56.2
NC_080651.1	1	12555122	2057906	12528257	99.786	23.8639	36	54.4
NC_080652.1	1	12239593	2080388	12226046	99.8893	24.6771	36	52.8
NC_080653.1	1	12036358	2058557	12002546	99.7191	25.0731	36.1	51
NC_080654.1	1	9592563	1915734	9554839	99.6067	29.0566	36	40.9
NC_080655.1	1	8416863	1608878	8207833	97.5165	27.302	35.8	42
NC_080656.1	1	8296844	1428566	8277386	99.7655	24.949	36	52.6
NC_080657.1	1	7670679	1281937	7651306	99.7474	24.0222	36	53.6
NC_080658.1	1	7190956	1347091	7141406	99.3109	26.4921	35.9	42.5
NC_080659.1	1	6772285	1212823	6740852	99.5359	25.4782	35.9	46.3
NC_080660.1	1	6625760	1479872	6579797	99.3063	30.4002	35.8	33.2
NC_080661.1	1	5159369	1837433	5034758	97.5848	49.5341	36	22.5
NC_080662.1	1	4987572	821539	4957055	99.3881	23.1266	35.8	53.2
NC_080663.1	1	4462882	945157	4395519	98.4906	28.5774	35.9	32.4
