#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	6849981	156024976	99.2823	10.1303	34.8	56
NC_080594.1	1	122006711	5368194	120983366	99.1612	10.2109	34.8	54.1
NC_080595.1	1	119294532	5340868	118450747	99.2927	10.3539	34.8	53.8
NC_080596.1	1	78532051	3419971	77981076	99.2984	10.1162	34.8	53.4
NC_080597.1	1	78443464	3489231	77676079	99.0217	10.3047	34.8	52.3
NC_080598.1	1	66577810	2959231	66121856	99.3152	10.2997	34.8	53.6
NC_080599.1	1	48796610	2244496	44203358	90.5869	10.5556	34.9	42.5
NC_080600.1	1	44359421	2171287	43783610	98.7019	11.2927	34.8	46
NC_080601.1	1	39273983	1908180	38866801	98.9632	11.25	34.8	49.4
NC_080602.1	1	28492116	1320476	27974835	98.1845	10.729	34.8	41.6
NC_080603.1	1	28002281	1290361	27828834	99.3806	10.699	34.8	52.7
NC_080604.1	1	22576299	1016992	22438209	99.3883	10.4736	34.8	55.9
NC_080605.1	1	22481186	1040194	22362682	99.4729	10.7106	34.8	53.1
NC_080606.1	1	20337689	913772	20219732	99.42	10.4349	34.8	56.6
NC_080607.1	1	19942864	1009965	19735343	98.9594	11.6207	34.9	44.4
NC_080608.1	1	18829917	845461	18690926	99.2619	10.4273	34.8	57.3
NC_080609.1	1	17718754	864541	17621023	99.4484	11.3285	34.9	53.6
NC_080610.1	1	15993217	725422	15875810	99.2659	10.4437	34.8	52.4
NC_080611.1	1	13147743	617680	13016555	99.0022	10.8063	34.8	52.8
NC_080612.1	1	12882169	611261	12780822	99.2133	10.9136	34.8	49.1
NC_080613.1	1	12454605	570615	12172132	97.732	10.5494	34.8	53.9
NC_080614.1	1	10553010	483651	10386982	98.4267	10.4737	34.8	45.3
NC_080615.1	1	9378704	444534	9136023	97.4124	10.7802	34.7	48.8
NC_080616.1	1	8927691	476827	8566606	95.9554	10.7886	34.4	39.3
NC_080617.1	1	8120544	365588	8012309	98.6671	10.2279	34.7	51.5
NC_080618.1	1	8025706	374577	7808430	97.2927	10.4376	34.6	37
NC_080619.1	1	7633124	364942	7492240	98.1543	10.6127	34.6	44.7
NC_080620.1	1	6574567	299508	6469500	98.4019	10.2484	34.7	51.8
NC_080621.1	1	6473977	293832	6197937	95.7362	9.7596	34.5	29.4
NC_080622.1	1	5774740	266227	5440244	94.2076	9.97516	34.5	45.4
NC_080623.1	1	5330327	246078	5166583	96.9281	9.83489	34.4	42.2
NC_080624.1	1	4945601	234315	4760164	96.2505	9.38811	34.3	34
NC_080625.1	1	4849416	273535	4332333	89.3372	12.0532	34.6	40.2
NC_080626.1	1	4512749	246833	3985457	88.3155	11.6721	34.5	33.5
NC_080627.1	1	2596542	201979	2424518	93.3749	13.4667	33.9	28.2
NW_026682903.1	1	51867	1917	49141	94.7442	6.67316	33.2	52.2
NW_026682904.1	1	41887	1168	33822	80.7458	4.54864	32.8	31.3
NC_080628.1	1	2074683	91179	1931435	93.0954	8.61939	34	43.8
