#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	3859618	117713623	74.9039	4.26855	35.6	55.9
NC_080594.1	1	122006711	3105250	91783485	75.2282	4.44276	35.6	53.6
NC_080595.1	1	119294532	3101643	91097986	76.3639	4.53332	35.6	54.1
NC_080596.1	1	78532051	2012574	60011444	76.4165	4.48714	35.6	52.7
NC_080597.1	1	78443464	2110368	59912788	76.377	4.74132	35.6	52.1
NC_080598.1	1	66577810	1929555	52781841	79.2784	5.14115	35.6	52.7
NC_080599.1	1	48796610	1532373	36907100	75.6346	5.69379	35.6	43
NC_080600.1	1	44359421	1464525	35742527	80.5748	5.88855	35.6	43.1
NC_080601.1	1	39273983	1254151	31848131	81.0922	5.73051	35.6	50.3
NC_080602.1	1	28492116	1015702	23650507	83.0072	6.48168	35.6	39.3
NC_080603.1	1	28002281	934429	23243979	83.0074	6.06252	35.6	52.1
NC_080604.1	1	22576299	773747	19046868	84.3667	6.27948	35.6	55.8
NC_080605.1	1	22481186	775272	18533035	82.438	6.2184	35.6	51
NC_080606.1	1	20337689	705164	17055025	83.8592	6.3145	35.6	55.5
NC_080607.1	1	19942864	816784	17477826	87.6395	7.55136	35.6	45.5
NC_080608.1	1	18829917	674869	15988047	84.9077	6.57808	35.6	56.7
NC_080609.1	1	17718754	731712	15292559	86.3072	7.62505	35.6	52.5
NC_080610.1	1	15993217	628218	14085785	88.0735	7.19554	35.6	51.8
NC_080611.1	1	13147743	526005	11380468	86.5583	7.36535	35.6	52.3
NC_080612.1	1	12882169	546229	11466459	89.0103	7.77783	35.6	48.2
NC_080613.1	1	12454605	521601	10922500	87.6985	7.72429	35.6	52.4
NC_080614.1	1	10553010	425571	9280208	87.939	7.48147	35.5	44.7
NC_080615.1	1	9378704	379116	8094694	86.3093	7.48516	35.5	49
NC_080616.1	1	8927691	483711	7724247	86.5201	8.89544	35.1	39.6
NC_080617.1	1	8120544	342683	7176520	88.3749	7.87031	35.5	53.1
NC_080618.1	1	8025706	312049	6901305	85.99	7.09061	35.4	39.4
