#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	6351741	153953079	99.0386	9.3088	35	56.4
NC_080634.1	1	120722141	4892723	119311549	98.8315	9.29416	35	55.4
NC_080635.1	1	115508148	4562925	114334497	98.9839	9.04984	35	58
NC_080636.1	1	76633907	3190247	75857163	98.9864	9.51301	35	53.9
NC_080637.1	1	74723840	3060672	73848330	98.8283	9.37348	35	55.2
NC_080638.1	1	65395694	2979332	64624610	98.8209	10.2767	35	49.9
NC_080639.1	1	40159020	1692804	39738181	98.9521	9.66307	35	54.1
NC_080640.1	1	39623761	1790728	38927982	98.244	10.2405	35	49.2
NC_080641.1	1	36565514	1854324	35259184	96.4274	11.5269	35	47.6
NC_080642.1	1	27615464	1150339	27322174	98.938	9.50357	35	54.7
NC_080643.1	1	22630956	1049720	22375569	98.8715	10.5646	35.1	50.4
NC_080644.1	1	22262677	1370521	20498017	92.0735	13.6765	35.1	32.5
NC_080645.1	1	21551278	896547	21295726	98.8142	9.472	35	55.9
NC_080646.1	1	21049297	960026	20874154	99.1679	10.3979	35.1	54.3
NC_080647.1	1	20566687	935608	20379696	99.0908	10.3568	35.1	51.6
NC_080648.1	1	19511261	848321	19246786	98.6445	9.85279	35.1	52.7
NC_080649.1	1	18006652	848451	17869657	99.2392	10.7138	35.1	51.3
NC_080650.1	1	14921164	616990	14766648	98.9645	9.34122	35.1	56.2
NC_080651.1	1	12555122	531412	12375718	98.5711	9.47704	35.1	55.3
NC_080652.1	1	12239593	550399	12111206	98.9511	9.81186	35	52.4
NC_080653.1	1	12036358	521097	11871349	98.6291	9.73487	35.1	52.5
NC_080654.1	1	9592563	479765	9414632	98.1451	11.187	35	43.4
NC_080655.1	1	8416863	449945	8071616	95.8982	10.895	34.5	38.9
NC_080656.1	1	8296844	370006	8172847	98.5055	9.87271	35	53.5
NC_080657.1	1	7670679	327920	7546941	98.3869	9.3496	35	53.9
NC_080658.1	1	7190956	352522	7048118	98.0136	10.1701	34.8	41.9
NC_080659.1	1	6772285	305164	6642823	98.0884	9.62792	35	46.8
NC_080660.1	1	6625760	404121	6321675	95.4106	11.8381	34.7	33.4
NC_080661.1	1	5159369	381521	4837872	93.7687	15.3064	35	23.6
NC_080662.1	1	4987572	210369	4853985	97.3216	8.87991	34.8	53.2
NC_080663.1	1	4462882	237467	4231544	94.8164	10.7318	34.9	33.9
NC_080664.1	1	3987155	203423	3879918	97.3104	10.1225	34.8	33.5
NC_080665.1	1	3511113	240576	3434263	97.8112	15.1207	35.1	19
NC_080666.1	1	2644149	323928	2569657	97.1828	24.6443	35	26.7
NC_080667.1	1	2575056	168096	2524654	98.0427	12.1065	34.8	27.8
