#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	7744699	154495087	99.3872	11.5737	34.6	57.6
NC_080634.1	1	120722141	5923206	119705330	99.1577	11.4637	34.7	57.3
NC_080635.1	1	115508148	5779058	114947158	99.5143	11.6822	34.7	58.3
NC_080636.1	1	76633907	3888934	76273167	99.5293	11.7978	34.7	55.8
NC_080637.1	1	74723840	3853728	74200133	99.2991	12.0081	34.7	56.2
NC_080638.1	1	65395694	3599663	64894664	99.2338	12.642	34.6	53.5
NC_080639.1	1	40159020	2163247	39982393	99.5602	12.5744	34.7	55.3
NC_080640.1	1	39623761	2198127	39235722	99.0207	12.7795	34.7	52.3
NC_080641.1	1	36565514	2361570	36367030	99.4572	14.9054	34.7	49.4
NC_080642.1	1	27615464	1524257	27452392	99.4095	12.8331	34.7	55.1
NC_080643.1	1	22630956	1334299	22555765	99.6678	13.6645	34.7	53.7
NC_080644.1	1	22262677	1629354	20636432	92.6952	16.3032	34.7	36.7
NC_080645.1	1	21551278	1201619	21454416	99.5506	12.9471	34.7	56.2
NC_080646.1	1	21049297	1262327	20983537	99.6876	13.9285	34.7	55.3
NC_080647.1	1	20566687	1179596	20496722	99.6598	13.2903	34.7	55.1
NC_080648.1	1	19511261	1095650	19276950	98.7991	12.9631	34.7	55.6
NC_080649.1	1	18006652	1151340	17958687	99.7336	14.8156	34.7	52.7
NC_080650.1	1	14921164	861531	14852213	99.5379	13.3304	34.7	57
NC_080651.1	1	12555122	734181	12459093	99.2351	13.3895	34.7	55.4
NC_080652.1	1	12239593	730228	12164970	99.3903	13.3743	34.6	55.2
NC_080653.1	1	12036358	694619	11962009	99.3823	13.2975	34.7	56.2
NC_080654.1	1	9592563	663020	9494027	98.9728	15.8227	34.7	43.1
NC_080655.1	1	8416863	534360	8071191	95.8931	13.3222	34.2	46.2
NC_080656.1	1	8296844	467325	8207139	98.9188	12.753	34.6	56
NC_080657.1	1	7670679	446468	7597621	99.0476	13.0797	34.6	56
NC_080658.1	1	7190956	428900	7088820	98.5797	12.6563	34.4	48.1
NC_080659.1	1	6772285	396082	6668725	98.4708	12.8745	34.6	52.8
NC_080660.1	1	6625760	434719	6462786	97.5403	12.9489	34.2	39.7
NC_080661.1	1	5159369	598739	4949451	95.9313	25.4562	34.7	25.5
NC_080662.1	1	4987572	278194	4894509	98.1341	12.1001	34.4	54.3
NC_080663.1	1	4462882	269833	4280616	95.916	12.6303	34.6	36.6
NC_080664.1	1	3987155	236606	3903038	97.8903	12.1798	34.4	38
NC_080665.1	1	3511113	262009	3442152	98.0359	16.799	34.7	25.8
NC_080666.1	1	2644149	364842	2529813	95.6759	28.9648	34.7	28.2
NC_080667.1	1	2575056	177834	2517681	97.7719	13.1995	34.4	32.2
NC_080668.1	1	21546180	1315476	19549474	90.7329	13.3802	34.6	31.1
NC_080669.1	1	89147626	2349912	84508131	94.7957	6.04586	34.7	49.7
NW_026683182.1	1	233636	16617	221666	94.8766	15.5891	34.4	1.47
NW_026683183.1	1	222717	44325	219785	98.6835	43.6268	34.7	1.75
NW_026683184.1	1	210713	7873	187650	89.0548	8.3246	34.3	1.16
NW_026683185.1	1	28662	3165	28632	99.8953	24.9803	34.8	33.5
NW_026683186.1	1	991617	40790	949042	95.7065	8.13346	34.4	6.02
NW_026683187.1	1	4516909	519253	4290881	94.996	24.8206	34.2	3.13
NW_026683188.1	1	4117062	281005	3719159	90.3353	14.4185	34.4	23.6
NW_026683189.1	1	3129419	525145	3056559	97.6718	36.9637	34.2	7.58
NW_026683190.1	1	2445016	177359	2398081	98.0804	15.5994	34.3	3.9
NW_026683191.1	1	2162463	349041	2151164	99.4775	34.9773	34.6	4.87
NW_026683192.1	1	2091851	238360	2044572	97.7398	26.0638	34.8	18.9
NW_026683193.1	1	2024811	151800	1976197	97.5991	16.8971	34.7	16.8
NW_026683194.1	1	1508116	50459	1227880	81.4181	7.27646	34.2	2.76
NW_026683195.1	1	1446652	137613	1392744	96.2736	14.1057	31.5	1.83
NW_026683196.1	1	1315579	54464	1198736	91.1185	8.99409	34.4	18.9
NW_026683197.1	1	1181476	71655	1165111	98.6149	13.7066	34.3	2.46
NW_026683198.1	1	1067410	83159	1062862	99.5739	17.7321	34.4	3.81
NW_026683199.1	1	1037885	58794	1028433	99.0893	12.8351	34.4	2.23
NW_026683200.1	1	1022493	210276	1017105	99.4731	45.015	34.8	1.08
NW_026683201.1	1	989550	58260	977015	98.7333	13.2607	34.4	2.14
