#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	8448033	154706379	99.5232	12.4122	34.8	56
NC_080634.1	1	120722141	6397851	119818857	99.2518	12.1928	34.9	56.1
NC_080635.1	1	115508148	6073113	115010701	99.5693	12.0856	34.9	57.8
NC_080636.1	1	76633907	4207483	76248002	99.4964	12.5787	34.9	54.1
NC_080637.1	1	74723840	4160963	74272537	99.396	12.7774	34.9	54.1
NC_080638.1	1	65395694	4085575	65048470	99.469	14.134	34.9	48.6
NC_080639.1	1	40159020	2324834	39974547	99.5406	13.3244	34.9	53.1
NC_080640.1	1	39623761	2417160	39106579	98.6948	13.8441	34.9	49
NC_080641.1	1	36565514	2609034	35536805	97.1867	16.2664	34.9	46.3
NC_080642.1	1	27615464	1582160	27478809	99.5052	13.1252	34.9	54.1
NC_080643.1	1	22630956	1480281	22535384	99.5777	14.9521	35	48.6
NC_080644.1	1	22262677	1928303	20661071	92.8059	19.302	34.9	31.8
NC_080645.1	1	21551278	1248603	21477594	99.6581	13.2698	34.9	55.4
NC_080646.1	1	21049297	1244779	20977229	99.6576	13.5282	34.9	55.4
NC_080647.1	1	20566687	1301352	20505228	99.7012	14.4799	34.9	50.6
NC_080648.1	1	19511261	1168489	19330970	99.076	13.6307	34.9	52.3
NC_080649.1	1	18006652	1170742	17962659	99.7557	14.8606	35	51
NC_080650.1	1	14921164	849735	14860758	99.5952	12.9324	34.9	56.1
NC_080651.1	1	12555122	738167	12465835	99.2888	13.2436	34.9	55
NC_080652.1	1	12239593	761307	12193150	99.6206	13.7227	34.9	52.5
NC_080653.1	1	12036358	715480	11944710	99.2386	13.4367	35	52.7
NC_080654.1	1	9592563	697569	9492265	98.9544	16.3921	34.9	42.1
NC_080655.1	1	8416863	621235	8145102	96.7712	15.2384	34.4	39.4
NC_080656.1	1	8296844	514652	8228428	99.1754	13.8352	34.9	53.5
NC_080657.1	1	7670679	458219	7604967	99.1433	13.1475	34.8	54
NC_080658.1	1	7190956	492607	7115113	98.9453	14.292	34.6	42.1
NC_080659.1	1	6772285	426498	6691923	98.8134	13.5724	34.8	47.1
NC_080660.1	1	6625760	531702	6473983	97.7093	15.5731	34.5	33.5
NC_080661.1	1	5159369	615402	4890658	94.7918	25.1209	34.9	25.9
NC_080662.1	1	4987572	297434	4907312	98.3908	12.6504	34.7	52.9
NC_080663.1	1	4462882	329295	4361623	97.7311	14.9489	34.8	35.9
NC_080664.1	1	3987155	282229	3774342	94.6625	14.0707	34.7	33.3
NC_080665.1	1	3511113	307294	3397429	96.7622	19.4369	35	18.8
NC_080666.1	1	2644149	394790	2620553	99.1076	29.3574	34.9	25.5
NC_080667.1	1	2575056	232198	2548978	98.9873	16.7355	34.7	27.9
NC_080668.1	1	21546180	200205	4031421	18.7106	1.80018	34.9	14.9
NC_080669.1	1	89147626	4891748	87578010	98.2393	12.4966	34.9	49.9
NW_026683182.1	1	233636	46437	226961	97.143	44.626	34.9	1.31
NW_026683183.1	1	222717	116673	221586	99.4922	118.863	35	2.41
NW_026683184.1	1	210713	21797	202555	96.1284	23.4107	34.7	1.01
NW_026683185.1	1	28662	3076	28581	99.7174	24.5076	35	37.2
NW_026683186.1	1	991617	104634	985885	99.422	22.8388	34.8	6.57
NW_026683187.1	1	4516909	1444880	4495084	99.5168	71.3283	34.7	3.64
NW_026683188.1	1	4117062	331985	3793361	92.1376	16.9083	34.6	14.4
NW_026683189.1	1	3129419	1305749	3111686	99.4333	94.0325	34.7	7.75
NW_026683190.1	1	2445016	415101	2422681	99.0865	37.6127	34.7	2.7
NW_026683191.1	1	2162463	648057	2147182	99.2934	66.1826	34.9	3.41
NW_026683192.1	1	2091851	300547	2051245	98.0588	32.5955	35	17.8
NW_026683193.1	1	2024811	173565	1935711	95.5996	19.0567	35	16
NW_026683194.1	1	1508116	121071	1266613	83.9864	18.0087	34.7	1.83
NW_026683195.1	1	1446652	250424	1441608	99.6513	30.6086	33.1	2.7
NW_026683196.1	1	1315579	99692	1191469	90.5661	16.6995	34.8	14.1
NW_026683197.1	1	1181476	190934	1176301	99.562	37.2569	34.8	2.35
NW_026683198.1	1	1067410	224788	1066134	99.8805	48.7513	34.8	3.66
NW_026683199.1	1	1037885	155923	1035593	99.7792	34.6439	34.8	2.14
NW_026683200.1	1	1022493	549410	1021036	99.8575	122.109	35.1	1.18
NW_026683201.1	1	989550	146323	986865	99.7287	33.9767	34.8	1.99
NW_026683202.1	1	973116	97679	970859	99.7681	22.9695	34.8	2.9
NW_026683203.1	1	921264	61564	888189	96.4098	14.9725	34.7	2.69
NW_026683204.1	1	912953	81448	908634	99.5269	20.3107	34.7	4.34
NW_026683205.1	1	792231	65547	786134	99.2304	19.0014	34.8	3.87
NW_026683206.1	1	702247	112858	700806	99.7948	36.9889	34.8	1.59
NW_026683207.1	1	677195	257730	674564	99.6115	85.9807	35	3.75
NW_026683208.1	1	655782	41794	616904	94.0715	12.744	34.7	2.02
NW_026683209.1	1	588151	45164	577616	98.2088	17.337	34.7	2.24
NW_026683210.1	1	581605	50672	580420	99.7963	19.9065	34.8	3.75
NW_026683211.1	1	532300	48349	525782	98.7755	20.8865	34.8	2.87
NW_026683212.1	1	526608	54174	523348	99.3809	23.6626	34.8	2.78
NW_026683213.1	1	486856	56725	480349	98.6635	26.1778	34.8	0.986
NW_026683214.1	1	481963	35893	462714	96.0061	15.5965	34.7	1.86
NW_026683215.1	1	451840	19050	398657	88.2297	8.94633	34.7	1.66
NW_026683216.1	1	398006	18081	372508	93.5936	10.0561	34.7	1
NW_026683217.1	1	395172	26974	390961	98.9344	15.3669	34.8	3.77
NW_026683218.1	1	390805	24860	371589	95.083	13.9352	34.8	1.84
NW_026683219.1	1	387931	73551	386035	99.5113	43.9606	34.8	2.74
NW_026683220.1	1	307818	30280	306506	99.5738	22.5744	34.8	3.06
NW_026683221.1	1	242267	35842	240610	99.316	33.6462	34.8	1.87
