#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	25241983	156781352	99.7636	23.7475	36	56.4
NC_080594.1	1	122006711	19691414	121770394	99.8063	23.8468	36	54.8
NC_080595.1	1	119294532	19593399	119109734	99.8451	24.242	36	54.4
NC_080596.1	1	78532051	13303011	78388170	99.8168	25.0233	36	50.9
NC_080597.1	1	78443464	13202635	78235638	99.7351	24.8511	36	51.5
NC_080598.1	1	66577810	11355355	66468296	99.8355	25.1623	36.1	52.3
NC_080599.1	1	48796610	8086317	46590218	95.4784	24.3435	36.1	42.8
NC_080600.1	1	44359421	8820479	44283241	99.8283	29.3101	36.1	42.3
NC_080601.1	1	39273983	7274664	39176704	99.7523	27.3158	36.1	49.1
NC_080602.1	1	28492116	5149657	28404390	99.6921	26.6256	36.1	40.1
NC_080603.1	1	28002281	4951954	27976332	99.9073	26.0847	36.1	52
NC_080604.1	1	22576299	3879157	22556511	99.9124	25.3391	36.1	55.9
NC_080605.1	1	22481186	4011804	22460689	99.9088	26.3288	36.1	52.2
NC_080606.1	1	20337689	3579402	20321905	99.9224	25.9631	36.1	55.3
NC_080607.1	1	19942864	4117533	19918791	99.8793	30.313	36.1	41.4
NC_080608.1	1	18829917	3268037	18794155	99.8101	25.5642	36.1	57
NC_080609.1	1	17718754	3419260	17697246	99.8786	28.4461	36.1	52
NC_080610.1	1	15993217	2856515	15975885	99.8916	26.1969	36	51.4
NC_080611.1	1	13147743	2438049	13101487	99.6482	27.2144	36	51.7
NC_080612.1	1	12882169	2507630	12866778	99.8805	28.6091	36.1	46.6
NC_080613.1	1	12454605	2354728	12242759	98.2991	27.7644	36	51.1
NC_080614.1	1	10553010	1952517	10514891	99.6388	27.0927	36	43.7
NC_080615.1	1	9378704	1789344	9217520	98.2814	27.9007	36	47.3
NC_080616.1	1	8927691	1765857	8662564	97.0303	28.2294	35.8	42.6
NC_080617.1	1	8120544	1451858	8098148	99.7242	26.0502	35.9	51.8
NC_080618.1	1	8025706	1493181	7913276	98.5991	26.9071	35.9	36
NC_080619.1	1	7633124	1459651	7593002	99.4744	27.6935	35.9	44.3
NC_080620.1	1	6574567	1213499	6549182	99.6139	26.7739	35.9	51.8
NC_080621.1	1	6473977	1118971	6382871	98.5927	24.4782	35.7	29.1
NC_080622.1	1	5774740	1098788	5726603	99.1664	27.1531	35.7	45.2
NC_080623.1	1	5330327	962315	5290087	99.2451	25.4677	35.6	43.2
NC_080624.1	1	4945601	907066	4917172	99.4252	24.8818	35.4	35.1
NC_080625.1	1	4849416	883919	4418535	91.1148	25.7253	35.7	39.1
NC_080626.1	1	4512749	932799	4096075	90.7667	29.0228	35.6	31.9
NC_080627.1	1	2596542	591543	2508286	96.601	30.6951	35.3	34.4
NW_026682903.1	1	51867	7654	51519	99.3291	19.0008	34.4	53.3
NW_026682904.1	1	41887	5226	39017	93.1482	15.5698	34.1	31.6
NC_080628.1	1	2074683	376740	2029188	97.8071	24.5301	35.1	44.8
NC_080629.1	1	1203310	191042	1174483	97.6044	20.5026	34.6	44.5
NC_080630.1	1	1088616	191177	1061914	97.5472	22.5526	34.6	43.4
NW_026682905.1	1	39931	6264	39316	98.4598	19.2789	34	40.2
NW_026682906.1	1	32408	4735	27789	85.7473	17.2573	33.8	39.2
NC_080631.1	1	884548	153240	868139	98.1449	22.9706	34.7	48.6
NC_080632.1	1	88477388	15221629	88026180	99.49	25.2951	36	47.4
NW_026682907.1	1	730054	348987	729828	99.969	70.7375	36.1	0.529
NW_026682908.1	1	659752	156733	629064	95.3486	33.7888	36	2.19
NW_026682909.1	1	610003	169944	608677	99.7826	40.8446	36	1.79
NW_026682910.1	1	516507	106790	516028	99.9073	30.4232	36	8.43
NW_026682911.1	1	503398	378791	485244	96.3937	112.207	36.2	0.451
NW_026682912.1	1	502746	358851	502634	99.9777	106.392	36.2	0.5
NW_026682913.1	1	502108	134826	498677	99.3167	38.5166	36	2.76
NW_026682914.1	1	496294	271061	376368	75.8357	81.1206	36.2	0.217
NW_026682915.1	1	496247	40810	467262	94.1592	11.884	35.9	0.651
NW_026682916.1	1	494937	98947	493283	99.6658	29.5471	36	1.51
NW_026682917.1	1	493150	164581	492446	99.8572	47.8151	36	2.64
NW_026682918.1	1	486754	116987	486016	99.8484	35.414	35.9	1.59
NW_026682919.1	1	482258	351522	481469	99.8364	108.407	36.1	0.3
NW_026682920.1	1	479995	328987	479615	99.9208	101.829	36.1	0.355
NW_026682921.1	1	455874	263131	455211	99.8546	85.6821	36.1	0.318
NW_026682922.1	1	447972	273744	447868	99.9768	90.6011	36	0.948
NW_026682923.1	1	447909	264875	447717	99.9571	87.8197	36.1	0.443
NW_026682924.1	1	443965	322762	442951	99.7716	106.342	36.1	0.295
NW_026682925.1	1	440460	404681	438734	99.6081	136.219	36	0.541
NW_026682926.1	1	424846	347314	423533	99.6909	120.719	36.1	0.821
NW_026682927.1	1	420859	298059	419984	99.7921	104.62	36	0.593
NW_026682928.1	1	409402	220516	407335	99.4951	79.5372	36	0.361
NW_026682929.1	1	404735	73924	403747	99.7559	26.9297	36	2.61
NW_026682930.1	1	403002	376606	402702	99.9256	138.341	36	1.18
NW_026682931.1	1	400251	225766	399022	99.6929	82.7089	36.1	1.32
NW_026682932.1	1	379196	171083	379037	99.9581	65.6464	36.1	1.09
NW_026682933.1	1	374162	223065	373766	99.8942	88.116	36	1.59
NW_026682934.1	1	365873	347747	365738	99.9631	140.948	36.1	0.739
NW_026682935.1	1	350991	124871	350974	99.9952	52.6511	36.1	0.563
NW_026682936.1	1	346568	127145	344811	99.493	54.3665	36	1.16
NW_026682937.1	1	344970	293561	344957	99.9962	126.187	36	0.754
NW_026682938.1	1	341789	82012	341024	99.7762	35.0279	36	0.687
NW_026682939.1	1	336814	220318	336749	99.9807	96.5235	36	0.709
NW_026682940.1	1	336111	103085	335812	99.911	45.1413	36	0.815
NW_026682941.1	1	328148	57214	327271	99.7327	25.701	35.9	0.773
NW_026682942.1	1	324161	79228	324070	99.9719	36.0107	36	0.481
NW_026682943.1	1	323938	138747	323840	99.9697	63.6423	36	1.46
NW_026682944.1	1	323347	199805	322949	99.8769	91.8129	36	1.86
NW_026682945.1	1	310687	192900	310419	99.9137	91.9183	36	0.901
NW_026682946.1	1	310635	81786	308375	99.2725	37.8852	35.7	1.24
NW_026682947.1	1	310348	164553	310216	99.9575	78.3639	36	0.644
NW_026682948.1	1	310269	52698	308809	99.5294	24.8596	35.9	1.33
NW_026682949.1	1	308774	85761	306578	99.2888	41.0191	36	0.595
NW_026682950.1	1	308227	70967	307853	99.8787	33.858	36	1.02
NW_026682951.1	1	307697	92438	307572	99.9594	44.513	36	1.75
NW_026682952.1	1	306521	75998	306013	99.8343	36.4523	36	0.667
NW_026682953.1	1	304386	80009	303820	99.8141	38.9175	36	0.653
NW_026682954.1	1	303078	101691	302628	99.8515	49.9393	36.1	0.906
NW_026682955.1	1	296903	72436	296472	99.8548	35.9244	36	1.35
NW_026682956.1	1	296466	147291	296161	99.8971	73.4215	35.9	0.991
NW_026682957.1	1	288547	87185	286403	99.257	44.7695	36	1.08
NW_026682958.1	1	284038	63203	283789	99.9123	32.5426	36	0.471
NW_026682959.1	1	280410	136042	280368	99.985	71.4755	35.9	1.09
NW_026682960.1	1	276164	119366	275862	99.8906	63.0675	36	0.667
NW_026682961.1	1	263428	60398	263055	99.8584	33.9449	35.9	1.4
NW_026682962.1	1	261474	48038	259853	99.3801	26.1503	35.7	1.52
NW_026682963.1	1	254301	82177	254024	99.8911	47.4075	36	1.58
NW_026682964.1	1	246999	81175	246839	99.9352	48.2361	35.9	0.902
NW_026682965.1	1	235852	45310	235706	99.9381	28.3377	36	0.498
NW_026682966.1	1	232862	65588	232689	99.9257	41.617	36	1.6
NW_026682967.1	1	229350	63852	229009	99.8513	41.0322	36	0.725
NW_026682968.1	1	227533	53062	227122	99.8194	33.9777	35.9	2.17
NW_026682969.1	1	226238	52737	225248	99.5624	34.564	36	1.23
NW_026682970.1	1	225760	1165848	225170	99.7387	707.361	35	2.23
NW_026682971.1	1	221860	61525	221471	99.8247	40.9081	36	1.42
NW_026682972.1	1	216916	40794	216706	99.9032	27.8283	36	0.822
NW_026682973.1	1	210189	58390	210027	99.9229	40.6911	35.9	1.32
NW_026682974.1	1	209705	47783	207249	98.8288	33.5227	36	0.612
NW_026682975.1	1	206331	46592	206104	99.89	33.2322	36	0.693
NW_026682976.1	1	205952	45438	203248	98.6871	32.3649	36	0.941
NW_026682977.1	1	203882	48222	203768	99.9441	34.994	36	0.593
NW_026682978.1	1	201328	53947	199786	99.2341	39.8113	36	0.818
NW_026682979.1	1	194893	42820	194656	99.8784	31.9362	36	1.42
NW_026682980.1	1	194400	59354	194233	99.9141	45.2899	36	1.39
NW_026682981.1	1	194024	45101	192187	99.0532	34.3731	36	0.355
NW_026682982.1	1	189959	102459	189901	99.9695	79.5478	35.9	1.25
