#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	6668096	152958551	98.6547	9.58985	34.8	49.3
NC_080431.1	1	121038451	5664584	119242718	98.5164	10.3242	34.8	45.7
NC_080432.1	1	116058627	5200057	114486919	98.6458	10.0034	34.8	48.1
NC_080433.1	1	75532323	4055637	74536819	98.682	11.8191	34.8	40.5
NC_080434.1	1	74254230	3611792	73289018	98.7001	10.6731	34.7	45.2
NC_080435.1	1	64434786	3086106	63492728	98.538	10.6434	34.8	44.3
NC_080436.1	1	41113200	1792969	40458332	98.4072	9.77445	34.9	48.7
NC_080437.1	1	37718192	1593542	37019133	98.1466	9.37461	34.9	51.3
NC_080438.1	1	32012489	1321782	31636556	98.8257	9.22994	34.9	53.4
NC_080439.1	1	25975538	1023503	25659446	98.7831	8.85312	34.9	57.3
NC_080440.1	1	23937375	1005983	23360359	97.5895	9.42415	35	52.5
NC_080441.1	1	21246031	1221048	21000863	98.8461	12.7231	35	41.1
NC_080442.1	1	20908400	854448	20670926	98.8642	9.10014	34.9	54.7
NC_080443.1	1	20828029	838877	20549173	98.6612	9.01436	34.9	55.3
NC_080444.1	1	19163621	846039	18950283	98.8868	9.82213	35	50.2
NC_080445.1	1	17259260	869953	17011353	98.5636	11.2231	35	44.2
NC_080446.1	1	15772524	953878	15557151	98.6345	13.5262	35	39.2
NC_080447.1	1	14594892	628935	14391924	98.6093	9.45231	35	53.2
NC_080448.1	1	13647849	1488904	13345650	97.7857	24.4171	35	20.2
NC_080449.1	1	13139134	705101	12969502	98.709	11.8079	35	42.5
NC_080450.1	1	12685073	745250	12466815	98.2794	12.9362	35	38.7
NC_080451.1	1	11415287	808893	11128223	97.4853	15.3295	35	30.6
NC_080452.1	1	10664763	830042	10421545	97.7194	16.5994	34.9	31.9
NC_080453.1	1	9760545	522760	9491024	97.2387	11.4514	34.9	38.4
NC_080454.1	1	8390233	695795	7790319	92.8499	17.4502	35	31
NC_080455.1	1	7681223	351570	7361931	95.8432	9.80957	34.9	42.8
NC_080456.1	1	7148689	307278	6957968	97.3321	9.24625	34.9	55.5
NC_080457.1	1	6818969	328319	6568411	96.3256	10.0754	34.9	50
NC_080458.1	1	6746589	613592	6123338	90.762	19.2764	35	25.5
NC_080459.1	1	5829678	919026	5495175	94.2621	31.6743	34.6	16.8
NC_080460.1	1	4651408	198353	4320878	92.894	8.40573	34.7	50.6
NC_080461.1	1	4540688	487736	4362072	96.0663	22.1739	34.9	30.1
NC_080462.1	1	3521296	171639	3305681	93.8768	8.57404	34.6	45.8
NC_080463.1	1	1086347	181098	1023398	94.2054	29.8986	34.9	26.9
NC_080464.1	1	34706425	1697111	33049739	95.2266	10.4179	34.9	16.6
NC_080465.1	1	83426660	2113934	74696882	89.536	5.16703	34.5	39.6
NW_026652215.1	1	10891332	1354533	10148844	93.1828	27.2977	35	28.5
NW_026652216.1	1	3851306	419795	3750791	97.3901	24.469	35	18.4
NW_026652217.1	1	2471679	360225	2399657	97.0861	31.0425	35	2.62
NW_026652218.1	1	2047835	347465	1854139	90.5414	35.8235	35.1	13.2
