#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	13052463	156641678	99.6747	19.5598	36.3	56.9
NC_080594.1	1	122006711	10056101	121510107	99.593	19.433	36.3	56.2
NC_080595.1	1	119294532	10274999	118878480	99.6512	20.2709	36.3	54.9
NC_080596.1	1	78532051	6508408	78262900	99.6573	19.5301	36.3	55
NC_080597.1	1	78443464	6671483	78059408	99.5104	20.0014	36.3	54
NC_080598.1	1	66577810	5860277	66376406	99.6975	20.6886	36.3	54.2
NC_080599.1	1	48796610	4416569	45455282	93.1525	21.0738	36.2	43.9
NC_080600.1	1	44359421	4356257	44162466	99.556	22.9911	36.2	45.5
NC_080601.1	1	39273983	3762890	39123592	99.6171	22.4319	36.2	50.3
NC_080602.1	1	28492116	2619484	28322480	99.4046	21.5486	36.1	42.8
NC_080603.1	1	28002281	2573558	27911664	99.6764	21.617	36.2	53.7
NC_080604.1	1	22576299	2084384	22525572	99.7753	21.7137	36.2	56.1
NC_080605.1	1	22481186	2073896	22437540	99.8059	21.6241	36.2	54.2
NC_080606.1	1	20337689	1843423	20299631	99.8129	21.2996	36.2	57.2
NC_080607.1	1	19942864	2027558	19862186	99.5955	23.6543	36.1	45.9
NC_080608.1	1	18829917	1725896	18767391	99.6679	21.5278	36.2	57.5
NC_080609.1	1	17718754	1796437	17685146	99.8103	23.8014	36.1	54.5
NC_080610.1	1	15993217	1502800	15954437	99.7575	21.9387	36.1	53.8
NC_080611.1	1	13147743	1254795	13067673	99.391	22.1953	36.1	53.7
NC_080612.1	1	12882169	1234677	12843899	99.7029	22.3111	36	51.2
NC_080613.1	1	12454605	1169453	12223463	98.1441	21.8915	36	55.4
NC_080614.1	1	10553010	953431	10453377	99.0559	20.8185	35.9	47.3
NC_080615.1	1	9378704	857153	9172406	97.8004	20.9209	35.8	50.8
NC_080616.1	1	8927691	838110	8618841	96.5405	21.2429	35.7	48.1
NC_080617.1	1	8120544	748397	8055833	99.2031	21.0818	35.8	53.6
NC_080618.1	1	8025706	647560	7826241	97.5147	18.1365	35.7	43
NC_080619.1	1	7633124	738811	7571687	99.1951	21.7867	35.7	47.8
NC_080620.1	1	6574567	654976	6520263	99.174	22.539	35.7	53.3
NC_080621.1	1	6473977	580210	6328463	97.7523	19.4039	35.6	30.8
NC_080622.1	1	5774740	563740	5684324	98.4343	21.0743	35.4	46.8
NC_080623.1	1	5330327	496305	5226893	98.0595	19.8181	35.3	45.1
