#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	24110551	154504173	99.6516	22.7386	36	47.4
NC_080431.1	1	121038451	19140253	120576299	99.6182	23.0699	36	45.9
NC_080432.1	1	116058627	17972936	115631351	99.6318	22.6736	36	47.8
NC_080433.1	1	75532323	14164545	75344688	99.7516	27.3699	36	39.5
NC_080434.1	1	74254230	12646245	74091765	99.7812	24.8596	36	44.7
NC_080435.1	1	64434786	12377609	64231517	99.6845	28.1347	36	38.5
NC_080436.1	1	41113200	6373188	40951508	99.6067	22.6483	36.1	46.6
NC_080437.1	1	37718192	5637913	37500546	99.423	21.7216	36	49.6
NC_080438.1	1	32012489	4636075	31936032	99.7612	21.108	36.1	51.8
NC_080439.1	1	25975538	3456158	25899714	99.7081	19.3867	36.1	57.4
NC_080440.1	1	23937375	3451181	23797243	99.4146	20.9717	36.1	50.9
NC_080441.1	1	21246031	4644521	21194989	99.7598	31.8418	36.1	36.4
NC_080442.1	1	20908400	3065049	20856603	99.7523	21.316	36.1	51.9
NC_080443.1	1	20828029	3003606	20752782	99.6387	21.0068	36.1	52.6
NC_080444.1	1	19163621	3196607	19119642	99.7705	24.2597	36.1	45.2
NC_080445.1	1	17259260	3071313	17171919	99.4939	25.9333	36.1	42
NC_080446.1	1	15772524	3282457	15722952	99.6857	30.3348	36.1	38
NC_080447.1	1	14594892	2163166	14541852	99.6366	21.2532	36	51.8
NC_080448.1	1	13647849	5863557	13599131	99.643	63.0684	36.1	17.1
NC_080449.1	1	13139134	2731346	13095357	99.6668	30.0676	36.1	36.4
NC_080450.1	1	12685073	2491220	12621282	99.4971	28.3645	36.1	38.8
NC_080451.1	1	11415287	3170835	11280543	98.8196	39.8399	36.1	25.8
NC_080452.1	1	10664763	2887460	10590529	99.3039	38.4122	36	28.6
NC_080453.1	1	9760545	1817902	9638331	98.7479	26.5118	36	35.1
NC_080454.1	1	8390233	2276498	7958413	94.8533	37.8081	36	26.5
NC_080455.1	1	7681223	1163313	7514467	97.829	21.3616	36	42
NC_080456.1	1	7148689	1041979	7077700	99.007	20.6689	36	55.6
NC_080457.1	1	6818969	1109736	6709271	98.3913	22.66	35.9	49.6
NC_080458.1	1	6746589	1881699	6548538	97.0644	38.7398	36	23.9
NC_080459.1	1	5829678	2934211	5738457	98.4352	69.3513	35.7	14.4
NC_080460.1	1	4651408	669898	4444158	95.5444	19.2437	35.8	51.1
NC_080461.1	1	4540688	1548222	4493215	98.9545	46.269	36	27.2
NC_080462.1	1	3521296	567263	3432675	97.4833	19.8084	35.7	46.7
NC_080463.1	1	1086347	552900	1028731	94.6964	61.0647	35.8	22.7
NC_080464.1	1	34706425	885941	8567808	24.6865	3.18754	36	10.2
NC_080465.1	1	83426660	11564970	82610969	99.0223	20.1372	36	48.3
NW_026652215.1	1	10891332	4380564	10599031	97.3162	57.5458	36.1	24.6
NW_026652216.1	1	3851306	1616999	3809724	98.9203	61.1695	36.1	13.8
NW_026652217.1	1	2471679	1744314	2467401	99.8269	102.071	36.1	1.65
NW_026652218.1	1	2047835	1213469	1945941	95.0243	83.9567	36.1	10.1
