#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	27795532	154536746	99.6726	26.0765	36	48.6
NC_080431.1	1	121038451	23567734	120647703	99.6772	28.285	35.9	44.9
NC_080432.1	1	116058627	20569097	115713516	99.7026	25.8113	36	49.4
NC_080433.1	1	75532323	14218886	75371988	99.7877	27.2791	36	45.4
NC_080434.1	1	74254230	14017234	74124270	99.825	27.398	35.9	46.8
NC_080435.1	1	64434786	14110344	64263981	99.7349	31.9113	35.9	39.9
NC_080436.1	1	41113200	7261732	40992577	99.7066	25.676	36	48.1
NC_080437.1	1	37718192	6504574	37486402	99.3855	24.9261	36	50.5
NC_080438.1	1	32012489	5377376	31957140	99.8271	24.3595	36	52.4
NC_080439.1	1	25975538	4052819	25911768	99.7545	22.6119	36	57.5
NC_080440.1	1	23937375	3976152	23825097	99.531	24.0357	36	51.3
NC_080441.1	1	21246031	5191447	21209007	99.8257	35.373	36.1	38
NC_080442.1	1	20908400	3538220	20868108	99.8073	24.4725	36	52.7
NC_080443.1	1	20828029	3325536	20773609	99.7387	23.1165	36	55.6
NC_080444.1	1	19163621	3516561	19128328	99.8158	26.5192	36	47.7
NC_080445.1	1	17259260	3542594	17188881	99.5922	29.7277	36.1	42.8
NC_080446.1	1	15772524	3706462	15731664	99.7409	34.0483	36.1	39
NC_080447.1	1	14594892	2521011	14552660	99.7106	24.6236	36	52.1
NC_080448.1	1	13647849	6123219	13603426	99.6745	65.5012	36.1	18.7
NC_080449.1	1	13139134	2883927	13105956	99.7475	31.5021	36	39.7
NC_080450.1	1	12685073	2800329	12627027	99.5424	31.6812	36	40
NC_080451.1	1	11415287	3471040	11294030	98.9378	43.325	36	27.7
NC_080452.1	1	10664763	3057066	10603839	99.4287	40.3637	36	30.7
NC_080453.1	1	9760545	2149646	9695953	99.3382	31.1352	36	35.4
NC_080454.1	1	8390233	2685076	8120649	96.7869	44.3462	36	27
NC_080455.1	1	7681223	1246683	7514089	97.8241	22.6195	35.9	45.3
NC_080456.1	1	7148689	1180923	7095316	99.2534	23.2305	35.9	55.5
NC_080457.1	1	6818969	1287298	6756813	99.0885	26.0781	35.9	49.1
NC_080458.1	1	6746589	2227881	6638607	98.3995	45.5742	36	23
NC_080459.1	1	5829678	3433419	5611260	96.2533	80.9471	35.7	14.6
NC_080460.1	1	4651408	758925	4454642	95.7698	21.5914	35.8	51
NC_080461.1	1	4540688	1874083	4500608	99.1173	55.9375	36	28.9
NC_080462.1	1	3521296	649446	3438647	97.6529	22.2021	35.6	46.3
NC_080463.1	1	1086347	642806	1065614	98.0915	71.4714	35.8	23.3
NC_080464.1	1	34706425	5333364	34422677	99.1824	21.5438	36	17.4
NC_080465.1	1	83426660	7493367	82116943	98.4301	12.7868	35.9	45.5
NW_026652215.1	1	10891332	5344141	10612361	97.4386	69.9191	36	24.2
NW_026652216.1	1	3851306	1594245	3768311	97.845	59.8659	36.1	13.2
NW_026652217.1	1	2471679	1625174	2465685	99.7575	94.3734	36.1	1.47
NW_026652218.1	1	2047835	1401105	2045461	99.8841	96.7241	36	12.9
