#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	22292403	154300409	99.5201	20.859	36	44.5
NC_080431.1	1	121038451	19108224	120421592	99.4904	22.8678	36	41
NC_080432.1	1	116058627	16909963	115444373	99.4707	21.166	36	44.7
NC_080433.1	1	75532323	10207998	75167779	99.5174	19.4717	36	46.1
NC_080434.1	1	74254230	11507611	74000671	99.6585	22.4391	36	42.6
NC_080435.1	1	64434786	11338691	64045554	99.3959	25.5787	36	37.2
NC_080436.1	1	41113200	5757108	40911538	99.5095	20.2791	36.1	46.2
NC_080437.1	1	37718192	5125506	37396181	99.1463	19.566	36.1	48.9
NC_080438.1	1	32012489	4200372	31885731	99.604	18.9575	36.1	51.6
NC_080439.1	1	25975538	3195190	25880914	99.6357	17.7465	36.1	57.1
NC_080440.1	1	23937375	3235206	23770218	99.3017	19.4722	36.1	50.2
NC_080441.1	1	21246031	4233921	21180300	99.6906	28.7802	36.1	36.7
NC_080442.1	1	20908400	2817065	20846531	99.7041	19.4062	36.1	51.9
NC_080443.1	1	20828029	2730447	20742828	99.5909	18.9092	36.1	52.6
NC_080444.1	1	19163621	2832198	19104957	99.6939	21.2663	36.1	47.5
NC_080445.1	1	17259260	2857030	16965309	98.2969	23.8971	36.1	42.5
NC_080446.1	1	15772524	3091085	15708014	99.591	28.3264	36.1	38.5
NC_080447.1	1	14594892	2126109	14535646	99.5941	20.7253	36.1	50.3
NC_080448.1	1	13647849	5308952	13592181	99.5921	56.7286	36.1	17.9
NC_080449.1	1	13139134	2443539	13086882	99.6023	26.6262	36.1	39.3
NC_080450.1	1	12685073	2390163	12609305	99.4027	26.9853	36.1	38.8
NC_080451.1	1	11415287	2989599	11264190	98.6764	37.2877	36.1	26.2
NC_080452.1	1	10664763	2728542	10559981	99.0175	35.9686	36	30.4
NC_080453.1	1	9760545	1785108	9651322	98.881	25.7577	36	36
NC_080454.1	1	8390233	2029257	7946205	94.7078	33.2508	36	26.5
NC_080455.1	1	7681223	1131176	7513728	97.8194	20.4857	36	43
NC_080456.1	1	7148689	1017798	7059757	98.756	19.977	36	55.4
NC_080457.1	1	6818969	1142054	6703091	98.3007	23.0555	36	48.9
NC_080458.1	1	6746589	1895154	6615514	98.0572	38.7231	36	24
NC_080459.1	1	5829678	3252878	5702605	97.8202	76.1796	35.7	12.2
NC_080460.1	1	4651408	657377	4422001	95.068	18.6244	35.8	50.6
NC_080461.1	1	4540688	1541378	4489707	98.8772	45.7194	36	26.6
NC_080462.1	1	3521296	564917	3385465	96.1426	19.272	35.7	46.2
NC_080463.1	1	1086347	550122	1049633	96.6204	61.4552	35.9	24
NC_080464.1	1	34706425	902175	8342277	24.0367	3.26364	36	10.6
NC_080465.1	1	83426660	10234731	82537239	98.9339	17.6406	36	47.6
NW_026652215.1	1	10891332	4631810	10485667	96.2753	60.3697	36.1	24.2
NW_026652216.1	1	3851306	1548726	3823402	99.2755	58.1363	36.1	13.6
NW_026652217.1	1	2471679	1493436	2462853	99.6429	86.9913	36.1	1.52
NW_026652218.1	1	2047835	1181731	1965794	95.9938	81.4819	36.1	11.7
