#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	23513521	155107185	99.781	22.225	36.1	56.9
NC_080634.1	1	120722141	18159752	120312330	99.6605	22.1634	36.1	55.7
NC_080635.1	1	115508148	17085339	115281070	99.8034	21.7964	36.1	58.1
NC_080636.1	1	76633907	11885802	76540526	99.8781	22.8073	36.1	53.6
NC_080637.1	1	74723840	11955382	74461143	99.6484	23.5575	36.1	53.3
NC_080638.1	1	65395694	11635972	65203236	99.7057	26.1439	36.1	47.7
NC_080639.1	1	40159020	6382742	40110860	99.8801	23.4137	36.1	54
NC_080640.1	1	39623761	7200364	39533729	99.7728	26.6698	36.1	46.7
NC_080641.1	1	36565514	7619213	36513199	99.8569	30.551	36.1	44.7
NC_080642.1	1	27615464	4413451	27545192	99.7455	23.4509	36.1	53.9
NC_080643.1	1	22630956	4310324	22603897	99.8804	28.0265	36.1	46.6
NC_080644.1	1	22262677	5800596	20726893	93.1015	37.8841	36	29
NC_080645.1	1	21551278	3483125	21526953	99.8871	23.7264	36.1	54.9
NC_080646.1	1	21049297	3508448	21021007	99.8656	24.4479	36.1	54.9
NC_080647.1	1	20566687	3661128	20550279	99.9202	26.1532	36.1	50.2
NC_080648.1	1	19511261	3311425	19413298	99.4979	24.8629	36.1	51.5
NC_080649.1	1	18006652	3272169	17992669	99.9223	26.6335	36.1	50.1
NC_080650.1	1	14921164	2394038	14896703	99.8361	23.4325	36.1	56.1
NC_080651.1	1	12555122	2079465	12520346	99.723	24.0566	36.1	54.8
NC_080652.1	1	12239593	2130683	12221534	99.8525	25.2378	36	52.6
NC_080653.1	1	12036358	2129582	12019815	99.8626	25.8905	36.1	50.1
NC_080654.1	1	9592563	1867901	9548258	99.5381	28.2441	36	42.4
NC_080655.1	1	8416863	1639799	8210234	97.5451	27.7828	35.9	41.7
NC_080656.1	1	8296844	1461809	8272682	99.7088	25.4619	36	52.5
NC_080657.1	1	7670679	1298236	7650831	99.7412	24.2687	36	53.5
NC_080658.1	1	7190956	1377529	7141567	99.3132	27.0585	35.9	42.2
NC_080659.1	1	6772285	1245224	6738538	99.5017	26.086	36	45.5
