#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	26383591	154500235	99.649	24.9544	36	49.5
NC_080431.1	1	121038451	21095965	120629940	99.6625	25.5291	36	47.8
NC_080432.1	1	116058627	20407186	115701585	99.6924	25.8228	36	48.5
NC_080433.1	1	75532323	12261329	75228921	99.5983	23.7139	36.1	50.2
NC_080434.1	1	74254230	13310610	74087396	99.7753	26.2405	36	47.7
NC_080435.1	1	64434786	13564175	64258327	99.7261	30.9344	36	40.3
NC_080436.1	1	41113200	7026719	40972692	99.6582	25.0466	36.1	48.2
NC_080437.1	1	37718192	6275969	37465352	99.3297	24.2713	36.1	50.9
NC_080438.1	1	32012489	5199038	31943081	99.7832	23.7513	36.1	52.8
NC_080439.1	1	25975538	3932906	25907449	99.7379	22.1263	36.1	57.6
NC_080440.1	1	23937375	3831083	23793815	99.4003	23.3521	36.1	51.7
NC_080441.1	1	21246031	4929629	21193869	99.7545	33.8733	36.1	38.7
NC_080442.1	1	20908400	3392828	20858031	99.7591	23.6581	36.1	53.6
NC_080443.1	1	20828029	3288393	20769508	99.719	23.0518	36.1	54.6
NC_080444.1	1	19163621	3352185	19112952	99.7356	25.4808	36.1	48.7
NC_080445.1	1	17259260	3319127	17007546	98.5416	28.0738	36.1	44.5
NC_080446.1	1	15772524	3548087	15719137	99.6615	32.8549	36.1	39.9
NC_080447.1	1	14594892	2436051	14549439	99.6886	24.0615	36.1	52.6
NC_080448.1	1	13647849	5820957	13595883	99.6192	62.6722	36.1	19.3
NC_080449.1	1	13139134	2776442	13097579	99.6837	30.5907	36.1	40.4
NC_080450.1	1	12685073	2695033	12633686	99.5949	30.73	36.1	40.8
NC_080451.1	1	11415287	3265805	11287242	98.8783	41.1599	36.1	28.1
NC_080452.1	1	10664763	2834023	10586660	99.2677	37.6691	36	31.3
NC_080453.1	1	9760545	2007082	9685838	99.2346	29.3013	36.1	36.9
NC_080454.1	1	8390233	2562870	8164655	97.3114	42.7377	36.1	27.2
NC_080455.1	1	7681223	1274871	7524752	97.9629	23.4268	36	43.6
NC_080456.1	1	7148689	1151561	7084436	99.1012	22.8978	36	55.6
NC_080457.1	1	6818969	1245893	6705902	98.3419	25.4727	36	49.5
NC_080458.1	1	6746589	2059981	6630330	98.2768	42.4819	36	23.6
NC_080459.1	1	5829678	3547494	5747657	98.593	84.0068	35.7	12.5
NC_080460.1	1	4651408	745084	4450186	95.674	21.42	35.8	51.2
NC_080461.1	1	4540688	1760023	4497232	99.043	52.8455	36	28.8
NC_080462.1	1	3521296	634918	3449420	97.9588	22.0665	35.7	46.6
NC_080463.1	1	1086347	602022	1055669	97.176	66.7674	35.9	23.1
NC_080464.1	1	34706425	913875	8083820	23.292	3.35281	36	10.9
NC_080465.1	1	83426660	13279167	82802642	99.252	23.2025	36	48.8
NW_026652215.1	1	10891332	5283145	10639773	97.6903	69.7986	36.1	24.8
NW_026652216.1	1	3851306	1702998	3832478	99.5111	64.6026	36.1	12.2
NW_026652217.1	1	2471679	1455975	2463656	99.6754	85.2788	36.1	1.62
NW_026652218.1	1	2047835	1261308	2045073	99.8651	87.6498	36.1	13.4
