#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	20526281	156749613	99.7434	19.2976	36	55
NC_080594.1	1	122006711	15950797	121735840	99.778	19.295	36	53.8
NC_080595.1	1	119294532	16368669	119059796	99.8032	20.2304	35.9	52.3
NC_080596.1	1	78532051	10495187	78313930	99.7223	19.7243	36	51.5
NC_080597.1	1	78443464	10604207	78221530	99.7171	19.9354	36	51.6
NC_080598.1	1	66577810	9601484	66453742	99.8136	21.2455	36	50.7
NC_080599.1	1	48796610	6695881	46100490	94.4748	20.1228	36	43
NC_080600.1	1	44359421	7268505	44275767	99.8114	24.1017	36	42.4
NC_080601.1	1	39273983	6117750	39210341	99.838	22.9372	36	48.8
NC_080602.1	1	28492116	4593126	28406938	99.701	23.7345	36	38
NC_080603.1	1	28002281	4166301	27954174	99.8282	21.9327	36	52.2
NC_080604.1	1	22576299	3322843	22554241	99.9023	21.6887	36	55.7
NC_080605.1	1	22481186	3403466	22460397	99.9075	22.3251	36	51.5
NC_080606.1	1	20337689	3072690	20319061	99.9084	22.2868	36	54.6
NC_080607.1	1	19942864	3399959	19915596	99.8633	24.9879	36	43.2
NC_080608.1	1	18829917	2802069	18780865	99.7395	21.9167	36	56.7
NC_080609.1	1	17718754	2899744	17693721	99.8587	24.1154	36	51.8
NC_080610.1	1	15993217	2491142	15972299	99.8692	22.8344	36	51.1
NC_080611.1	1	13147743	2135254	13096575	99.6108	23.8378	36	51.2
NC_080612.1	1	12882169	2226671	12862256	99.8454	25.3911	36	45.6
NC_080613.1	1	12454605	2064350	12240871	98.2839	24.3226	36	51.1
NC_080614.1	1	10553010	1722549	10518390	99.6719	23.8871	35.9	43.1
NC_080615.1	1	9378704	1593954	9209391	98.1947	24.8415	35.9	46.9
NC_080616.1	1	8927691	1546910	8654355	96.9383	24.805	35.7	42.4
NC_080617.1	1	8120544	1293273	8093942	99.6724	23.2057	35.9	51.2
NC_080618.1	1	8025706	1381678	7913345	98.6	24.912	35.8	34.6
NC_080619.1	1	7633124	1271792	7592608	99.4692	24.1053	35.8	44.2
NC_080620.1	1	6574567	1077982	6542367	99.5102	23.8072	35.8	50.4
NC_080621.1	1	6473977	938459	6346085	98.0245	20.5758	35.6	28.7
NC_080622.1	1	5774740	934471	5711022	98.8966	23.066	35.6	44.2
NC_080623.1	1	5330327	857124	5283320	99.1181	22.7403	35.5	43.4
NC_080624.1	1	4945601	775324	4891693	98.91	21.2943	35.4	33.4
NC_080625.1	1	4849416	778145	4415379	91.0497	22.7034	35.6	39.8
NC_080626.1	1	4512749	780037	4085088	90.5233	24.2272	35.5	31.3
NC_080627.1	1	2596542	580785	2483482	95.6457	30.5642	35.4	31.2
NW_026682903.1	1	51867	6498	51312	98.93	16.0385	34.3	53.3
NW_026682904.1	1	41887	4143	39234	93.6663	12.4329	34	31.3
NC_080628.1	1	2074683	338603	2008882	96.8284	22.1839	35.1	44.1
NC_080629.1	1	1203310	159608	1173557	97.5274	17.3091	34.5	44.6
NC_080630.1	1	1088616	157973	1066587	97.9764	18.7701	34.5	43
NW_026682905.1	1	39931	4524	38677	96.8596	13.8682	33.9	40.6
NW_026682906.1	1	32408	3805	28262	87.2069	13.6907	33.6	39.9
NC_080631.1	1	884548	125173	859633	97.1833	18.741	34.6	48
NC_080632.1	1	88477388	12305358	88001423	99.462	20.4052	35.9	46.4
NW_026682907.1	1	730054	316837	729839	99.9706	64.0664	36	0.536
NW_026682908.1	1	659752	192669	652188	98.8535	41.6935	36	2.45
NW_026682909.1	1	610003	158550	608753	99.7951	37.9818	35.8	1.99
NW_026682910.1	1	516507	103078	516146	99.9301	29.4171	35.9	7.12
NW_026682911.1	1	503398	362037	485245	96.3939	107.113	36.1	0.433
NW_026682912.1	1	502746	344161	502604	99.9718	101.933	36.1	0.549
NW_026682913.1	1	502108	140741	501574	99.8936	40.0119	35.9	3.51
NW_026682914.1	1	496294	243403	376344	75.8309	72.6809	36.1	0.239
NW_026682915.1	1	496247	72953	496170	99.9845	21.5028	35.8	1.07
NW_026682916.1	1	494937	89814	493465	99.7026	26.7808	35.9	1.23
NW_026682917.1	1	493150	151148	489762	99.313	43.4053	35.9	2
NW_026682918.1	1	486754	123457	486401	99.9275	37.348	35.9	1.8
NW_026682919.1	1	482258	314121	481644	99.8727	96.6765	36.1	0.363
NW_026682920.1	1	479995	294564	479637	99.9254	91.0272	36	0.397
NW_026682921.1	1	455874	247565	455720	99.9662	80.5332	36.1	0.46
NW_026682922.1	1	447972	240123	447882	99.9799	79.3789	35.9	1.07
NW_026682923.1	1	447909	257003	447755	99.9656	85.0291	36	0.426
NW_026682924.1	1	443965	251491	442911	99.7626	82.3605	36	0.368
NW_026682925.1	1	440460	325079	439091	99.6892	109.178	35.9	0.572
NW_026682926.1	1	424846	287057	423223	99.618	99.5417	36	0.755
NW_026682927.1	1	420859	236330	419485	99.6735	82.7542	35.9	0.59
NW_026682928.1	1	409402	168495	406674	99.3337	60.6244	35.9	0.336
