#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	5417576	155359542	98.8589	8.08204	34.7	56
NC_080594.1	1	122006711	4151968	120562037	98.8159	7.97988	34.7	55.5
NC_080595.1	1	119294532	4295864	117900049	98.8311	8.38966	34.7	53.6
NC_080596.1	1	78532051	2709052	77561595	98.7643	8.08507	34.7	54.3
NC_080597.1	1	78443464	2811173	77335773	98.5879	8.36483	34.7	52.8
NC_080598.1	1	66577810	2449468	65789478	98.8159	8.59162	34.7	53.3
NC_080599.1	1	48796610	1870327	44023479	90.2183	8.86491	34.8	43.2
NC_080600.1	1	44359421	1798564	43880721	98.9209	9.38759	34.7	45.5
NC_080601.1	1	39273983	1589906	38879270	98.995	9.42002	34.8	49.6
NC_080602.1	1	28492116	1132806	28013200	98.3191	9.28452	34.7	41.4
NC_080603.1	1	28002281	1069481	27706001	98.9419	8.96588	34.7	53.3
NC_080604.1	1	22576299	860352	22381047	99.1351	8.95224	34.8	56.1
NC_080605.1	1	22481186	869684	22313211	99.2528	9.03909	34.7	53.8
NC_080606.1	1	20337689	768682	20184258	99.2456	8.87068	34.7	56.8
NC_080607.1	1	19942864	858170	19688642	98.7252	9.93146	34.8	45.1
NC_080608.1	1	18829917	718192	18657947	99.0867	8.94413	34.8	57.3
NC_080609.1	1	17718754	762780	17598704	99.3225	10.1117	34.8	54
NC_080610.1	1	15993217	636382	15855219	99.1371	9.25216	34.7	53.1
NC_080611.1	1	13147743	529525	12988428	98.7883	9.35563	34.7	53.5
NC_080612.1	1	12882169	531119	12760366	99.0545	9.56909	34.7	50.7
NC_080613.1	1	12454605	492632	12150771	97.5605	9.20357	34.7	54.8
NC_080614.1	1	10553010	411836	10347081	98.0486	8.99162	34.7	46.3
NC_080615.1	1	9378704	368829	9086533	96.8847	8.99743	34.6	49.7
NC_080616.1	1	8927691	446729	8543732	95.6992	10.0806	34.2	39.7
NC_080617.1	1	8120544	331190	7981256	98.2847	9.33445	34.6	52.7
NC_080618.1	1	8025706	313444	7733285	96.3564	8.69675	34.5	40.1
NC_080619.1	1	7633124	323138	7430616	97.347	9.41988	34.5	46.3
NC_080620.1	1	6574567	287952	6457050	98.2126	9.94974	34.6	52.9
NC_080621.1	1	6473977	256966	6075550	93.8457	8.47515	34.4	31.5
NC_080622.1	1	5774740	266271	5616933	97.2673	10.012	34.4	45.3
NC_080623.1	1	5330327	222481	5159023	96.7862	8.84371	34.2	43.9
NC_080624.1	1	4945601	219624	4711330	95.263	8.59391	34	35.8
NC_080625.1	1	4849416	243807	4347149	89.6427	10.8108	34.5	40.9
NC_080626.1	1	4512749	222101	3955922	87.661	10.5056	34.3	34.4
NC_080627.1	1	2596542	188989	2411750	92.8831	12.4469	33.7	28
NW_026682903.1	1	51867	2191	49986	96.3734	7.56558	33.1	51.4
NW_026682904.1	1	41887	1132	34770	83.009	4.37062	32.7	32.9
NC_080628.1	1	2074683	91460	1941537	93.5823	8.68981	33.8	44.3
NC_080629.1	1	1203310	45882	1116937	92.822	6.79057	33.2	43.4
