#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	7706696	153914611	99.2713	11.451	34.7	50.1
NC_080431.1	1	121038451	6455273	119985667	99.1302	12.1817	34.7	47
NC_080432.1	1	116058627	5817758	115119776	99.1911	11.5641	34.7	50.1
NC_080433.1	1	75532323	3558744	74796246	99.0255	10.7503	34.7	50.9
NC_080434.1	1	74254230	4008171	73750361	99.3214	12.2367	34.6	47.2
NC_080435.1	1	64434786	3850633	63892426	99.1583	13.7152	34.6	41.9
NC_080436.1	1	41113200	2023002	40684095	98.9563	11.3795	34.8	49.7
NC_080437.1	1	37718192	1827790	37281735	98.8428	11.0984	34.8	52.1
NC_080438.1	1	32012489	1504145	31801436	99.3407	10.8399	34.8	54.1
NC_080439.1	1	25975538	1172880	25784170	99.2633	10.4562	34.8	57.5
NC_080440.1	1	23937375	1149062	23388683	97.7078	11.0963	34.8	52.6
NC_080441.1	1	21246031	1390354	21105456	99.3383	14.9257	34.8	41.6
NC_080442.1	1	20908400	987820	20771668	99.346	10.8669	34.8	54.8
NC_080443.1	1	20828029	977156	20669887	99.2407	10.8332	34.8	55.1
NC_080444.1	1	19163621	1016122	19035541	99.3317	12.1675	34.8	48.5
NC_080445.1	1	17259260	965299	16846703	97.6096	12.8352	34.9	45.7
NC_080446.1	1	15772524	1076926	15656360	99.2635	15.6986	34.9	40
NC_080447.1	1	14594892	711680	14471033	99.1514	11.0342	34.8	53.6
NC_080448.1	1	13647849	1744387	13532906	99.1578	29.3687	34.8	20.4
NC_080449.1	1	13139134	836779	13036348	99.2177	14.4395	34.8	41.2
NC_080450.1	1	12685073	841822	12542524	98.8762	15.0282	34.9	39.4
NC_080451.1	1	11415287	993057	11198962	98.105	19.4657	34.8	30.4
NC_080452.1	1	10664763	936192	10477415	98.2433	19.2415	34.8	31.9
NC_080453.1	1	9760545	599607	9534283	97.6819	13.549	34.8	37.6
NC_080454.1	1	8390233	734091	7747901	92.3443	18.9071	34.8	30
NC_080455.1	1	7681223	357924	7341114	95.5722	10.2319	34.8	46.2
NC_080456.1	1	7148689	350962	7006886	98.0164	10.8776	34.7	55.8
NC_080457.1	1	6818969	366489	6613410	96.9855	11.6116	34.7	50.6
NC_080458.1	1	6746589	619492	6530271	96.7937	19.8575	34.8	25.4
NC_080459.1	1	5829678	1017074	5378900	92.2675	36.0606	34.5	16.4
NC_080460.1	1	4651408	225692	4365712	93.8579	9.80057	34.6	50.9
NC_080461.1	1	4540688	515842	4411748	97.1603	23.995	34.8	28.3
NC_080462.1	1	3521296	188985	3320131	94.2872	9.61806	34.5	46
NC_080463.1	1	1086347	188156	992692	91.3789	31.6417	34.8	26.3
NC_080464.1	1	34706425	280524	6030690	17.3763	1.50773	34.8	14.1
NC_080465.1	1	83426660	4081908	81714025	97.9471	10.8684	34.6	46.6
NW_026652215.1	1	10891332	1423932	10264105	94.241	29.5595	34.9	29
NW_026652216.1	1	3851306	443127	3731576	96.8912	26.5043	34.9	15.6
NW_026652217.1	1	2471679	458940	2431152	98.3603	40.8481	34.9	2.76
NW_026652218.1	1	2047835	364532	1908536	93.1977	38.5454	34.9	13.5
