#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	6596061	153596817	99.0663	9.65949	34.6	50.9
NC_080431.1	1	121038451	5211661	119711099	98.9034	9.69385	34.6	49.5
NC_080432.1	1	116058627	5219515	114804133	98.9191	10.2037	34.6	48.8
NC_080433.1	1	75532323	3087223	74633211	98.8096	9.18098	34.7	51
NC_080434.1	1	74254230	3450463	73631042	99.1607	10.3519	34.5	47.5
NC_080435.1	1	64434786	3129595	63775502	98.9768	10.9754	34.6	44.3
NC_080436.1	1	41113200	1725414	40559051	98.6521	9.55054	34.8	50.5
NC_080437.1	1	37718192	1564482	37035915	98.1911	9.35895	34.7	52.1
NC_080438.1	1	32012489	1308238	31729131	99.1149	9.28168	34.7	53.7
NC_080439.1	1	25975538	1004195	25730837	99.058	8.82602	34.8	57.5
NC_080440.1	1	23937375	985933	23423151	97.8518	9.38472	34.8	52.4
NC_080441.1	1	21246031	1183682	21054631	99.0991	12.4666	34.8	42
NC_080442.1	1	20908400	845014	20730060	99.147	9.15573	34.8	55.1
NC_080443.1	1	20828029	840048	20612351	98.9645	9.17327	34.8	54.7
NC_080444.1	1	19163621	851727	18999765	99.145	10.0417	34.8	49.2
NC_080445.1	1	17259260	815835	16795342	97.3121	10.6633	34.8	45.8
NC_080446.1	1	15772524	916194	15617183	99.0151	13.1244	34.8	39.7
NC_080447.1	1	14594892	604959	14428359	98.859	9.22248	34.8	53.6
NC_080448.1	1	13647849	1467835	13492178	98.8594	24.2279	34.8	20.1
NC_080449.1	1	13139134	678972	12995851	98.9095	11.4887	34.8	42.1
NC_080450.1	1	12685073	711260	12506304	98.5907	12.4548	34.8	39.2
NC_080451.1	1	11415287	812004	11166715	97.8225	15.5133	34.8	30.5
NC_080452.1	1	10664763	790858	10462871	98.1069	15.9084	34.7	30.5
NC_080453.1	1	9760545	483467	9312341	95.408	10.6878	34.7	38.6
NC_080454.1	1	8390233	634350	7627529	90.9096	16.0234	34.8	29.4
NC_080455.1	1	7681223	315544	7325397	95.3676	8.91968	34.7	43.7
NC_080456.1	1	7148689	295062	6979061	97.6271	9.01381	34.7	55.7
NC_080457.1	1	6818969	295428	6562339	96.2365	9.19435	34.7	49.7
NC_080458.1	1	6746589	557212	6512761	96.5341	17.7015	34.7	26
NC_080459.1	1	5829678	985114	5463867	93.725	33.9887	34.4	14.9
NC_080460.1	1	4651408	186525	4334806	93.1934	8.0147	34.5	50.9
NC_080461.1	1	4540688	483899	4350825	95.8186	22.5153	34.8	29.9
NC_080462.1	1	3521296	154893	3291567	93.476	7.79971	34.4	45.8
NC_080463.1	1	1086347	164693	1009838	92.9572	27.5684	34.7	25.8
NC_080464.1	1	34706425	1151560	29968740	86.3493	6.96291	34.7	21.1
NC_080465.1	1	83426660	2125721	76679382	91.9123	5.20949	34.3	40.1
NW_026652215.1	1	10891332	1363431	10377279	95.2802	27.9265	34.8	28.5
NW_026652216.1	1	3851306	391347	3719005	96.5648	22.9608	34.8	15.7
NW_026652217.1	1	2471679	365720	2428420	98.2498	31.272	34.8	2.83
NW_026652218.1	1	2047835	307962	1851846	90.4295	31.4009	34.8	13
