#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	6686283	154470533	99.3714	9.87147	34.7	56.6
NC_080634.1	1	120722141	5183437	119695719	99.1498	9.92906	34.7	55.4
NC_080635.1	1	115508148	4916283	114899064	99.4727	9.84733	34.7	57.7
NC_080636.1	1	76633907	3369802	76288624	99.5494	10.1169	34.7	54.3
NC_080637.1	1	74723840	3325198	74068303	99.1227	10.2634	34.7	55
NC_080638.1	1	65395694	3322949	64612833	98.8029	11.4957	34.7	48.8
NC_080639.1	1	40159020	1867933	39929897	99.4295	10.7732	34.8	53.6
NC_080640.1	1	39623761	2045370	39093242	98.6611	11.7217	34.8	47.7
NC_080641.1	1	36565514	2164878	36394294	99.5317	13.5256	34.8	47
NC_080642.1	1	27615464	1276907	27359823	99.0743	10.6743	34.8	55.8
NC_080643.1	1	22630956	1239011	22534317	99.573	12.5667	34.8	49.5
NC_080644.1	1	22262677	1605757	20617096	92.6083	15.8555	34.7	32.9
NC_080645.1	1	21551278	1043769	21454267	99.5499	11.1689	34.8	55.5
NC_080646.1	1	21049297	1086640	20965288	99.6009	11.9054	34.8	54.8
NC_080647.1	1	20566687	1077504	20470268	99.5312	12.0301	34.8	51.6
NC_080648.1	1	19511261	978186	19302185	98.9284	11.4737	34.8	53.1
NC_080649.1	1	18006652	1003325	17950176	99.6864	12.8367	34.8	51.8
NC_080650.1	1	14921164	751392	14852200	99.5378	11.5341	34.8	56.3
NC_080651.1	1	12555122	639321	12445401	99.1261	11.5856	34.8	55.3
NC_080652.1	1	12239593	660314	12179818	99.5116	11.9018	34.7	53
NC_080653.1	1	12036358	621281	11928547	99.1043	11.7849	34.8	54.3
NC_080654.1	1	9592563	658610	9498309	99.0174	15.6501	34.7	39.4
NC_080655.1	1	8416863	532901	8177649	97.1579	13.0286	34.1	41.6
NC_080656.1	1	8296844	425394	8161003	98.3627	11.4962	34.7	54.2
NC_080657.1	1	7670679	409080	7604641	99.1391	11.8532	34.6	54.7
NC_080658.1	1	7190956	425819	7116876	98.9698	12.3122	34.4	43.8
NC_080659.1	1	6772285	376646	6686004	98.726	12.0963	34.6	49.8
NC_080660.1	1	6625760	444650	6442936	97.2407	12.8292	34.2	35.2
NC_080661.1	1	5159369	542112	5095995	98.7717	22.412	34.7	26.4
NC_080662.1	1	4987572	263351	4902495	98.2942	11.282	34.5	53.3
NC_080663.1	1	4462882	294694	4399275	98.5748	13.5239	34.6	35.7
NC_080664.1	1	3987155	246691	3922905	98.3886	12.4196	34.4	34.9
NC_080665.1	1	3511113	253824	3417990	97.3478	15.9856	34.7	22.5
NC_080666.1	1	2644149	346059	2596836	98.2107	26.0057	34.6	26.3
NC_080667.1	1	2575056	196226	2545060	98.8351	13.9812	34.4	28.6
NC_080668.1	1	21546180	1386673	19461166	90.323	14.0168	34.6	29.2
NC_080669.1	1	89147626	2033710	83015441	93.1213	5.15535	34.7	49.3
NW_026683182.1	1	233636	31097	225484	96.5108	29.0837	34.6	1.44
NW_026683183.1	1	222717	78056	220894	99.1815	77.0726	34.8	2.19
NW_026683184.1	1	210713	14844	198251	94.0858	15.6829	34.4	1.21
NW_026683185.1	1	28662	2670	28536	99.5604	21.2562	34.7	36.3
NW_026683186.1	1	991617	68725	971474	97.9687	14.1141	34.5	5.66
NW_026683187.1	1	4516909	1075753	4446142	98.4333	51.5582	34.4	3.68
NW_026683188.1	1	4117062	326642	4040880	98.1496	16.6194	34.3	17
NW_026683189.1	1	3129419	984565	3088059	98.6783	69.1418	34.4	7.64
NW_026683190.1	1	2445016	308416	2431494	99.447	27.0541	34.4	3.35
NW_026683191.1	1	2162463	494943	2134132	98.6899	48.731	34.7	3.21
NW_026683192.1	1	2091851	312338	2088994	99.8634	34.117	34.8	19.5
NW_026683193.1	1	2024811	121581	1976099	97.5942	13.2525	34.7	19.7
NW_026683194.1	1	1508116	92775	1278554	84.7782	13.4486	34.3	3.11
NW_026683195.1	1	1446652	193934	1432677	99.034	21.5566	32.2	2.26
NW_026683196.1	1	1315579	66313	1199956	91.2112	10.6206	34.4	10.1
NW_026683197.1	1	1181476	122695	1172494	99.2398	23.3947	34.5	2.11
NW_026683198.1	1	1067410	153859	1066736	99.9369	32.7269	34.5	4.06
NW_026683199.1	1	1037885	110400	1035221	99.7433	24.0555	34.5	2.33
NW_026683200.1	1	1022493	417971	1020153	99.7711	89.7285	34.9	1.16
NW_026683201.1	1	989550	107913	985208	99.5612	24.5599	34.5	2.36
NW_026683202.1	1	973116	72671	969032	99.5803	16.7409	34.5	3.51
NW_026683203.1	1	921264	40961	859146	93.2573	9.64155	34.3	2.97
NW_026683204.1	1	912953	54852	900444	98.6298	13.2967	34.3	4.23
NW_026683205.1	1	792231	41069	784947	99.0806	11.6519	34.5	4.95
NW_026683206.1	1	702247	78410	700178	99.7054	25.2449	34.5	2.2
NW_026683207.1	1	677195	207123	673094	99.3944	66.714	34.9	3.79
NW_026683208.1	1	655782	31998	602130	91.8186	9.03815	34.3	2.43
NW_026683209.1	1	588151	29935	571236	97.124	11.1959	34.3	2.39
NW_026683210.1	1	581605	33623	577724	99.3327	12.8198	34.4	4.16
NW_026683211.1	1	532300	34248	518925	97.4873	14.5411	34.5	3.47
NW_026683212.1	1	526608	43530	522198	99.1626	18.6233	34.5	3.32
NW_026683213.1	1	486856	41397	477060	97.9879	18.4723	34.5	1.19
NW_026683214.1	1	481963	27153	457636	94.9525	10.9364	34.3	1.98
NW_026683215.1	1	451840	12950	373651	82.6954	5.6877	34.3	1.67
NW_026683216.1	1	398006	13393	378002	94.9739	7.3157	34.4	2.12
NW_026683217.1	1	395172	15184	375850	95.1105	8.23803	34.4	2.69
NW_026683218.1	1	390805	17956	364753	93.3338	9.65855	34.4	2.1
NW_026683219.1	1	387931	45883	384354	99.0779	26.8819	34.5	2.89
NW_026683220.1	1	307818	22725	306641	99.6176	16.5464	34.5	3.12
NW_026683221.1	1	242267	24931	240143	99.1233	22.8731	34.5	1.88
