#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	21803592	155104491	99.7793	20.578	36	55.9
NC_080634.1	1	120722141	16881633	120306802	99.656	20.5732	36	54.7
NC_080635.1	1	115508148	15726168	115253212	99.7793	20.0364	36	57.9
NC_080636.1	1	76633907	11280963	76493637	99.817	21.6019	36	51.8
NC_080637.1	1	74723840	11094966	74407708	99.5769	21.8278	36	52.8
NC_080638.1	1	65395694	11148996	65185862	99.6791	24.9925	36	46.5
NC_080639.1	1	40159020	6042835	40096916	99.8454	22.132	36	53.3
NC_080640.1	1	39623761	6851324	39460423	99.5878	25.2993	36	46.1
NC_080641.1	1	36565514	7465258	36502488	99.8276	29.8645	36	42.4
NC_080642.1	1	27615464	4166624	27517560	99.6455	22.098	36	54.5
NC_080643.1	1	22630956	4244157	22602989	99.8764	27.5387	36	45.6
NC_080644.1	1	22262677	6067875	20760647	93.2531	39.3172	35.9	27.3
NC_080645.1	1	21551278	3322022	21527188	99.8882	22.5908	36	54.7
NC_080646.1	1	21049297	3356904	21018324	99.8529	23.3492	36	54.9
NC_080647.1	1	20566687	3629443	20547926	99.9088	25.8798	36	48.9
NC_080648.1	1	19511261	3250480	19433981	99.6039	24.3566	36	50.8
NC_080649.1	1	18006652	3185964	17990872	99.9124	25.875	36	49.9
NC_080650.1	1	14921164	2380901	14895573	99.8285	23.2543	36	55.5
NC_080651.1	1	12555122	2036550	12516775	99.6946	23.5202	36	54.9
NC_080652.1	1	12239593	2116606	12220469	99.8438	25.0028	36	52.6
NC_080653.1	1	12036358	2111782	12014457	99.818	25.6272	36	49.9
NC_080654.1	1	9592563	2020524	9550377	99.5602	30.566	36	39.5
NC_080655.1	1	8416863	1688045	8198926	97.4107	28.5775	35.8	40.9
NC_080656.1	1	8296844	1460223	8267083	99.6413	25.407	35.9	52.7
NC_080657.1	1	7670679	1310576	7642301	99.63	24.471	35.9	53.4
NC_080658.1	1	7190956	1394921	7135040	99.2224	27.3323	35.8	41.5
