#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	6102382	152838688	98.5774	8.84986	34.8	50.4
NC_080431.1	1	121038451	5173793	119156213	98.4449	9.51514	34.8	46.8
NC_080432.1	1	116058627	4723589	114379563	98.5533	9.1583	34.8	49.4
NC_080433.1	1	75532323	3120018	74476982	98.6028	9.16819	34.8	47.2
NC_080434.1	1	74254230	3144092	73253899	98.6528	9.34486	34.7	47.7
NC_080435.1	1	64434786	2944380	63410304	98.41	10.2261	34.8	43.4
NC_080436.1	1	41113200	1682880	40455273	98.3997	9.22408	34.9	48.2
NC_080437.1	1	37718192	1473525	36931288	97.9137	8.71412	34.9	51.4
NC_080438.1	1	32012489	1226183	31595404	98.6971	8.60865	34.9	53.3
NC_080439.1	1	25975538	940368	25613702	98.607	8.17814	34.9	57.5
NC_080440.1	1	23937375	923566	23426978	97.8678	8.68604	35	52.1
NC_080441.1	1	21246031	1155758	20963854	98.6719	12.0783	35	40.4
NC_080442.1	1	20908400	801109	20650205	98.7651	8.57309	34.9	54.1
NC_080443.1	1	20828029	784466	20525359	98.5468	8.47499	34.9	54.6
NC_080444.1	1	19163621	802689	18926412	98.7622	9.36245	34.9	49.1
NC_080445.1	1	17259260	805575	16949765	98.2068	10.4227	35	43.7
NC_080446.1	1	15772524	899168	15550506	98.5924	12.7656	35	38.3
NC_080447.1	1	14594892	571707	14366470	98.4349	8.59173	35	53.4
NC_080448.1	1	13647849	1480398	13438928	98.4692	24.3238	35	19.2
NC_080449.1	1	13139134	684856	12949912	98.5599	11.5019	35	40.3
NC_080450.1	1	12685073	711310	12460268	98.2278	12.3742	35	37.4
NC_080451.1	1	11415287	773063	11069221	96.9684	14.6188	35	28.4
NC_080452.1	1	10664763	724261	10407253	97.5854	14.4069	34.9	31.1
NC_080453.1	1	9760545	479891	9381142	96.1129	10.53	34.9	37.9
NC_080454.1	1	8390233	652488	7701140	91.787	16.4221	35	29.8
NC_080455.1	1	7681223	305522	7307628	95.1363	8.51048	34.9	44.2
NC_080456.1	1	7148689	284624	6959667	97.3559	8.58494	34.9	55.3
NC_080457.1	1	6818969	294481	6543588	95.9615	9.05513	34.9	50.2
NC_080458.1	1	6746589	492310	6454123	95.665	15.2615	34.9	26
NC_080459.1	1	5829678	863103	5467783	93.7922	29.6822	34.6	15.2
NC_080460.1	1	4651408	182452	4315372	92.7756	7.73033	34.7	50.8
NC_080461.1	1	4540688	453579	4381122	96.4859	20.7157	34.9	30.7
NC_080462.1	1	3521296	158492	3302993	93.8005	7.86271	34.6	45.5
NC_080463.1	1	1086347	162482	1004149	92.4335	26.9233	34.8	26.2
NC_080464.1	1	34706425	244150	5817865	16.7631	1.2516	34.9	13.5
NC_080465.1	1	83426660	3345058	81031208	97.1287	8.60004	34.7	45.5
NW_026652215.1	1	10891332	1359028	10355509	95.0803	27.6195	35	29.4
NW_026652216.1	1	3851306	393892	3675978	95.4476	22.9392	35	16.6
NW_026652217.1	1	2471679	391215	2424392	98.0868	33.6623	35	2.63
NW_026652218.1	1	2047835	329749	1971381	96.2666	33.8196	35.1	12.3
