#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080430.1	1	155044423	8178731	154118252	99.4026	12.2569	34.5	55.6
NC_080431.1	1	121038451	6373323	120019526	99.1582	12.1584	34.5	54.2
NC_080432.1	1	116058627	6255373	115288303	99.3363	12.5337	34.5	55.2
NC_080433.1	1	75532323	4067481	75087651	99.4113	12.4152	34.5	53.9
NC_080434.1	1	74254230	4104460	73826053	99.4234	12.656	34.4	53.7
NC_080435.1	1	64434786	3644878	64028178	99.369	13.0815	34.5	52.3
NC_080436.1	1	41113200	2302555	40718477	99.0399	13.0166	34.6	52.9
NC_080437.1	1	37718192	2018247	37283436	98.8474	12.3613	34.5	55.5
NC_080438.1	1	32012489	1714086	31807919	99.361	12.426	34.6	56.7
NC_080439.1	1	25975538	1374091	25826009	99.4243	12.2883	34.6	58
NC_080440.1	1	23937375	1327145	23617996	98.6658	12.8494	34.6	52.8
NC_080441.1	1	21246031	1288713	21106639	99.3439	13.86	34.6	50.8
NC_080442.1	1	20908400	1120264	20785538	99.4124	12.3903	34.6	57.6
NC_080443.1	1	20828029	1119479	20697030	99.371	12.4517	34.6	56.5
NC_080444.1	1	19163621	1034925	19022083	99.2614	12.4209	34.6	54.7
NC_080445.1	1	17259260	960170	16834240	97.5374	12.7723	34.6	54.1
NC_080446.1	1	15772524	947885	15658840	99.2792	13.7359	34.6	50.9
NC_080447.1	1	14594892	778226	14468428	99.1335	12.1847	34.6	56.7
NC_080448.1	1	13647849	1023857	13509842	98.9888	16.8517	34.6	36.5
NC_080449.1	1	13139134	735680	12985881	98.8336	12.6547	34.5	50.6
NC_080450.1	1	12685073	743949	12531273	98.7876	13.1967	34.6	49.7
NC_080451.1	1	11415287	828253	11146337	97.6439	16.1876	34.6	37.9
NC_080452.1	1	10664763	786017	10439875	97.8913	16.0272	34.5	39.3
NC_080453.1	1	9760545	510139	9375898	96.0592	11.4413	34.5	47
NC_080454.1	1	8390233	525260	6736754	80.2928	13.3233	34.5	31.4
NC_080455.1	1	7681223	409927	7382818	96.1151	11.8225	34.5	45.4
NC_080456.1	1	7148689	353179	6992175	97.8106	10.9611	34.5	56
NC_080457.1	1	6818969	392446	6598292	96.7638	12.5223	34.5	50.6
NC_080458.1	1	6746589	578594	6470800	95.9122	18.6389	34.5	28.4
NC_080459.1	1	5829678	745679	5399690	92.6242	24.7934	34	16.1
NC_080460.1	1	4651408	224753	4366354	93.8717	9.9191	34.3	52.1
NC_080461.1	1	4540688	486668	4326675	95.2868	23.0338	34.6	29.3
NC_080462.1	1	3521296	185338	3343039	94.9377	9.87464	34.2	48.1
NC_080463.1	1	1086347	175371	1010680	93.0347	31.4903	34.5	26.4
NC_080464.1	1	34706425	255467	5788730	16.6791	1.4171	34.6	14.3
NC_080465.1	1	83426660	4588473	81898799	98.1686	12.2871	34.4	49
NW_026652215.1	1	10891332	1501711	10200198	93.6543	31.1145	34.6	27.7
NW_026652216.1	1	3851306	386433	3729301	96.8321	22.9502	34.6	17.8
NW_026652217.1	1	2471679	172113	2366823	95.7577	14.2456	34.6	3.02
NW_026652218.1	1	2047835	209674	1866319	91.1362	21.3514	34.6	21.7
