#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	21822961	155128267	99.7946	20.6356	36	55.9
NC_080634.1	1	120722141	16487644	120292300	99.6439	20.128	36	56
NC_080635.1	1	115508148	15653437	115294638	99.8152	19.9739	36	57.8
NC_080636.1	1	76633907	11429791	76566797	99.9124	21.9367	36	51.5
NC_080637.1	1	74723840	11099428	74429769	99.6065	21.8766	36	52.5
NC_080638.1	1	65395694	11067109	65132857	99.5981	24.8692	36	46
NC_080639.1	1	40159020	5913185	40079715	99.8025	21.6996	36	53.6
NC_080640.1	1	39623761	6793878	39376648	99.3764	25.163	36	45
NC_080641.1	1	36565514	7068773	36504298	99.8326	28.3427	36	43.7
NC_080642.1	1	27615464	4049800	27547375	99.7534	21.5227	36	54.2
NC_080643.1	1	22630956	4127050	22600324	99.8646	26.8503	36.1	44.9
NC_080644.1	1	22262677	5747558	20750455	93.2074	37.3549	35.9	27.2
NC_080645.1	1	21551278	3241136	21526621	99.8856	22.0903	36	54.7
NC_080646.1	1	21049297	3289685	21022969	99.8749	22.9435	36	54.2
NC_080647.1	1	20566687	3464570	20541763	99.8788	24.7704	36.1	48.9
NC_080648.1	1	19511261	3108914	19420975	99.5373	23.3531	36	50.5
NC_080649.1	1	18006652	3036071	17991255	99.9145	24.7235	36.1	49.7
NC_080650.1	1	14921164	2218611	14898650	99.8491	21.7258	36	55.7
NC_080651.1	1	12555122	1918954	12521662	99.7335	22.2205	36	54.9
NC_080652.1	1	12239593	1987480	12220063	99.8404	23.5496	36	52.2
NC_080653.1	1	12036358	1979454	12020005	99.8641	24.0702	36	49.7
NC_080654.1	1	9592563	1856315	9558624	99.6462	28.1316	36	40.1
NC_080655.1	1	8416863	1557704	8211829	97.564	26.4237	35.8	40.8
NC_080656.1	1	8296844	1371014	8268930	99.6636	23.9126	36	52.3
NC_080657.1	1	7670679	1212825	7644063	99.653	22.6978	35.9	53.3
NC_080658.1	1	7190956	1296240	7142586	99.3273	25.4979	35.9	41.6
NC_080659.1	1	6772285	1157399	6741390	99.5438	24.2892	35.9	45.1
NC_080660.1	1	6625760	1522024	6561033	99.0231	31.3819	35.8	32.7
NC_080661.1	1	5159369	1454072	5072957	98.3251	38.6245	35.9	20.4
NC_080662.1	1	4987572	767722	4950816	99.263	21.5884	35.8	53.7
NC_080663.1	1	4462882	880463	4437049	99.4212	26.4999	35.9	31.1
NC_080664.1	1	3987155	779633	3964778	99.4388	26.2955	35.8	31.4
NC_080665.1	1	3511113	1003767	3481319	99.1514	41.655	36.1	15.8
NC_080666.1	1	2644149	1025914	2625454	99.293	51.1123	35.9	23.3
NC_080667.1	1	2575056	603121	2566637	99.6731	29.861	35.8	27.1
NC_080668.1	1	21546180	4188369	19865614	92.2002	27.7301	35.9	26.7
NC_080669.1	1	89147626	6625678	87119154	97.7246	10.77	36	47.5
NW_026683182.1	1	233636	177635	229481	98.2216	112.893	36.1	0.408
NW_026683183.1	1	222717	309780	221838	99.6053	204.317	36.1	0.949
NW_026683184.1	1	210713	75817	208100	98.7599	53.4102	36	0.522
NW_026683185.1	1	28662	7808	28604	99.7976	39.8613	36.1	34.5
NW_026683186.1	1	991617	292041	990838	99.9214	41.8607	36	3.9
NW_026683187.1	1	4516909	4929217	4513817	99.9315	160.207	36	2.03
NW_026683188.1	1	4117062	951392	4021389	97.6762	33.2102	35.8	13.6
NW_026683189.1	1	3129419	3889585	3121582	99.7496	182.487	36	4.81
NW_026683190.1	1	2445016	1456223	2443371	99.9327	87.2998	36	2.18
NW_026683191.1	1	2162463	2045334	2143459	99.1212	137.233	36	1.79
NW_026683192.1	1	2091851	806889	2089623	99.8935	56.3786	36.1	15.5
NW_026683193.1	1	2024811	525393	2015583	99.5443	37.397	36	12.8
NW_026683194.1	1	1508116	363304	1286821	85.3264	35.4492	35.9	1.86
NW_026683195.1	1	1446652	441314	1445005	99.8862	43.0968	35.4	2.64
NW_026683196.1	1	1315579	242532	1211652	92.1003	26.7135	35.9	12
NW_026683197.1	1	1181476	443204	1179266	99.8129	55.4681	36	0.993
NW_026683198.1	1	1067410	551724	1066991	99.9607	76.6484	36	2.08
NW_026683199.1	1	1037885	397202	1037026	99.9172	56.7143	36	1.36
NW_026683200.1	1	1022493	1669214	1022269	99.9781	240.736	36.1	0.705
NW_026683201.1	1	989550	361452	988537	99.8976	53.9643	36	1.24
NW_026683202.1	1	973116	247355	972220	99.9079	37.5481	36	1.55
NW_026683203.1	1	921264	174855	910833	98.8678	27.7899	35.9	1.62
NW_026683204.1	1	912953	170449	909835	99.6585	27.4123	35.9	1.85
NW_026683205.1	1	792231	141461	789361	99.6377	26.31	36	2.4
NW_026683206.1	1	702247	293460	701975	99.9613	61.7873	36	1.34
NW_026683207.1	1	677195	780931	676031	99.8281	169.533	36.1	2.84
NW_026683208.1	1	655782	136983	655524	99.9607	29.3823	35.8	2.6
NW_026683209.1	1	588151	107882	584864	99.4411	26.9571	35.9	1.19
NW_026683210.1	1	581605	134425	581441	99.9718	34.13	36	2.39
NW_026683211.1	1	532300	124526	531606	99.8696	34.6192	36	1.92
NW_026683212.1	1	526608	134820	525523	99.794	37.8498	36	1.6
NW_026683213.1	1	486856	147614	484033	99.4202	44.3139	36	0.571
NW_026683214.1	1	481963	107688	480041	99.6012	31.4827	35.8	2
NW_026683215.1	1	451840	49302	434050	96.0628	15.3968	35.8	0.932
NW_026683216.1	1	398006	47919	391862	98.4563	17.5663	35.9	0.847
NW_026683217.1	1	395172	53733	384762	97.3657	19.6873	35.8	1.26
NW_026683218.1	1	390805	82829	390698	99.9726	31.0438	35.9	2.71
NW_026683219.1	1	387931	176302	387297	99.8366	67.3855	36	1.2
NW_026683220.1	1	307818	75689	307600	99.9292	36.3508	36	1.75
NW_026683221.1	1	242267	83212	241848	99.8271	50.4929	36	0.843
