#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	21754385	156728671	99.7301	20.4433	36	56.8
NC_080594.1	1	122006711	16888116	121754463	99.7933	20.4256	36	55.5
NC_080595.1	1	119294532	16991423	119056927	99.8008	20.9896	36	54.7
NC_080596.1	1	78532051	10923837	78334385	99.7483	20.5161	36	53.8
NC_080597.1	1	78443464	11262738	78245299	99.7474	21.1577	36	53
NC_080598.1	1	66577810	9915105	66419461	99.7622	21.9216	36	52.9
NC_080599.1	1	48796610	7128051	46367584	95.0221	21.3895	36	44
NC_080600.1	1	44359421	7546420	44284931	99.8321	24.9863	36	43.2
NC_080601.1	1	39273983	6409962	39127496	99.627	24.0069	36	48.7
NC_080602.1	1	28492116	4484987	28411818	99.7182	23.114	36	41.1
NC_080603.1	1	28002281	4301031	27969011	99.8812	22.5969	36	52.9
NC_080604.1	1	22576299	3445954	22552399	99.8941	22.4503	36	56.1
NC_080605.1	1	22481186	3553887	22459620	99.9041	23.2669	36	52.4
NC_080606.1	1	20337689	3166389	20315320	99.89	22.9207	36	55.7
NC_080607.1	1	19942864	3435632	19916440	99.8675	25.1709	36	44.6
NC_080608.1	1	18829917	2911341	18778599	99.7275	22.7127	36	57.2
NC_080609.1	1	17718754	3058858	17693296	99.8563	25.3793	36	52.8
NC_080610.1	1	15993217	2602011	15974504	99.883	23.7824	36	52.2
NC_080611.1	1	13147743	2161912	13077835	99.4683	24.0588	36	52.5
NC_080612.1	1	12882169	2269517	12866048	99.8749	25.7951	36	47.6
NC_080613.1	1	12454605	2074917	12240478	98.2807	24.3666	36	52.8
NC_080614.1	1	10553010	1712100	10527149	99.7549	23.6568	35.9	45.1
NC_080615.1	1	9378704	1547027	9219757	98.3052	24.0175	35.9	48.5
NC_080616.1	1	8927691	1575458	8665093	97.0586	25.0651	35.7	44.3
NC_080617.1	1	8120544	1323227	8100992	99.7592	23.648	35.9	52.5
NC_080618.1	1	8025706	1314950	7919172	98.6726	23.5053	35.8	37.9
NC_080619.1	1	7633124	1280576	7583951	99.3558	24.1284	35.8	46.7
NC_080620.1	1	6574567	1136602	6551693	99.6521	24.9878	35.8	52.4
NC_080621.1	1	6473977	1081643	6403862	98.917	23.6127	35.6	27.4
NC_080622.1	1	5774740	1000028	5735342	99.3178	24.5177	35.6	45.8
NC_080623.1	1	5330327	857680	5294845	99.3343	22.5168	35.5	44.3
NC_080624.1	1	4945601	847772	4916530	99.4122	22.8903	35.3	35.9
NC_080625.1	1	4849416	784878	4437268	91.5011	22.668	35.6	40.2
NC_080626.1	1	4512749	837730	4095666	90.7577	25.7824	35.5	32.6
NC_080627.1	1	2596542	505989	2509053	96.6306	25.928	35.2	35
NW_026682903.1	1	51867	8487	51415	99.1285	20.6954	34.3	53.1
NW_026682904.1	1	41887	4935	39306	93.8382	14.5739	34	30.6
NC_080628.1	1	2074683	354410	2029156	97.8056	22.7912	35	44.4
NC_080629.1	1	1203310	175112	1175342	97.6757	18.5381	34.5	44.6
NC_080630.1	1	1088616	167943	1058737	97.2553	19.6191	34.5	44.1
NW_026682905.1	1	39931	4904	38631	96.7444	14.7853	33.9	42.5
NW_026682906.1	1	32408	3671	27593	85.1426	13.0876	33.6	41.1
NC_080631.1	1	884548	136159	867265	98.0461	20.2525	34.6	48.3
NC_080632.1	1	88477388	13184591	87998042	99.4582	21.8996	36	48.5
NW_026682907.1	1	730054	271001	729744	99.9575	54.5236	36	0.473
NW_026682908.1	1	659752	132326	629415	95.4018	28.1871	36	2.26
NW_026682909.1	1	610003	136939	608856	99.812	32.5974	35.8	1.99
NW_026682910.1	1	516507	64507	512679	99.2589	18.1419	35.8	10
NW_026682911.1	1	503398	295438	485142	96.3734	87.3246	36.1	0.4
NW_026682912.1	1	502746	287146	502551	99.9612	84.9754	36.1	0.604
NW_026682913.1	1	502108	85618	487504	97.0915	23.6399	35.8	1.6
NW_026682914.1	1	496294	201292	376339	75.8299	60.0179	36.1	0.195
NW_026682915.1	1	496247	82827	495821	99.9142	24.435	35.9	1.13
NW_026682916.1	1	494937	78115	493279	99.665	23.1672	35.9	1.16
NW_026682917.1	1	493150	89739	472027	95.7167	24.9535	35.9	0.907
NW_026682918.1	1	486754	96987	486055	99.8564	29.1098	35.8	1.62
NW_026682919.1	1	482258	265701	481523	99.8476	81.7129	36.1	0.343
NW_026682920.1	1	479995	241483	479403	99.8767	74.467	36	0.285
NW_026682921.1	1	455874	209181	455642	99.9491	67.9309	36.1	0.441
NW_026682922.1	1	447972	201638	447801	99.9618	66.3665	35.9	0.782
NW_026682923.1	1	447909	208147	447506	99.91	68.7842	36	0.441
NW_026682924.1	1	443965	226508	442319	99.6293	73.8059	36	0.317
NW_026682925.1	1	440460	289267	439375	99.7537	96.9249	35.9	0.577
NW_026682926.1	1	424846	251436	423240	99.622	86.6607	36	0.838
NW_026682927.1	1	420859	206285	419747	99.7358	71.9398	35.9	0.623
NW_026682928.1	1	409402	149442	406418	99.2711	53.5087	35.9	0.332
NW_026682929.1	1	404735	60558	403338	99.6548	21.9429	35.8	2.42
NW_026682930.1	1	403002	267219	402513	99.8787	97.6656	36	1.22
NW_026682931.1	1	400251	181593	398776	99.6315	65.7776	36	1.67
NW_026682932.1	1	379196	134596	378829	99.9032	50.9252	35.9	1.11
NW_026682933.1	1	374162	158636	373479	99.8175	62.2444	35.8	1.52
NW_026682934.1	1	365873	244441	365750	99.9664	98.7173	36	0.787
NW_026682935.1	1	350991	96590	350978	99.9963	40.545	36	0.668
NW_026682936.1	1	346568	94142	343241	99.04	39.9746	35.9	0.939
NW_026682937.1	1	344970	198338	344936	99.9901	84.9315	36	0.506
NW_026682938.1	1	341789	62113	340477	99.6161	26.0838	35.8	0.626
