#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	24924523	156751261	99.7445	23.3914	35.9	56
NC_080594.1	1	122006711	19400694	121739164	99.7807	23.4278	35.9	54.4
NC_080595.1	1	119294532	19058495	119091142	99.8295	23.5177	35.9	55
NC_080596.1	1	78532051	12399759	78396579	99.8275	23.2647	35.9	53.6
NC_080597.1	1	78443464	12560047	78188598	99.6751	23.5764	35.9	53.3
NC_080598.1	1	66577810	11308029	66487464	99.8643	24.9758	35.9	52.3
NC_080599.1	1	48796610	8253526	46907248	96.1281	24.7433	36	42.6
NC_080600.1	1	44359421	8222368	44288068	99.8391	27.1865	36	44.4
NC_080601.1	1	39273983	6975782	39210470	99.8383	26.0955	36	50.9
NC_080602.1	1	28492116	5079228	28388138	99.6351	26.1676	36	41.3
NC_080603.1	1	28002281	4816512	27967368	99.8753	25.2884	36	53.3
NC_080604.1	1	22576299	3898849	22547975	99.8745	25.3822	36	56.3
NC_080605.1	1	22481186	3986598	22457059	99.8927	26.0823	36	52.5
NC_080606.1	1	20337689	3590996	20316565	99.8961	25.978	36	55.8
NC_080607.1	1	19942864	3847769	19909567	99.833	28.1862	36	45.2
NC_080608.1	1	18829917	3288710	18789629	99.786	25.6504	36	57.3
NC_080609.1	1	17718754	3451801	17692212	99.8502	28.629	36	52.9
NC_080610.1	1	15993217	2944612	15970789	99.8598	26.8998	35.9	52
NC_080611.1	1	13147743	2478027	13100435	99.6402	27.5707	35.9	52.2
NC_080612.1	1	12882169	2575775	12862830	99.8499	29.2679	35.9	47.2
NC_080613.1	1	12454605	2371161	12239429	98.2723	27.8374	35.9	52.3
NC_080614.1	1	10553010	1888160	10510022	99.5926	26.0856	35.9	46.1
NC_080615.1	1	9378704	1776143	9222350	98.3329	27.5617	35.9	48.2
NC_080616.1	1	8927691	1766388	8665531	97.0635	28.1398	35.7	44.1
NC_080617.1	1	8120544	1506541	8102398	99.7765	26.936	35.8	52
NC_080618.1	1	8025706	1431724	7924333	98.7369	25.5853	35.7	38.8
