#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	7563307	156229910	99.4127	11.3347	34.7	57.1
NC_080594.1	1	122006711	5849104	121147224	99.2955	11.281	34.7	56.1
NC_080595.1	1	119294532	5898447	118498694	99.3329	11.5682	34.7	55.4
NC_080596.1	1	78532051	3869760	78129383	99.4873	11.5661	34.7	53.8
NC_080597.1	1	78443464	3900798	77888697	99.2928	11.6621	34.7	53.8
NC_080598.1	1	66577810	3480941	66184267	99.4089	12.2388	34.7	53.8
NC_080599.1	1	48796610	2609022	44599487	91.3987	12.4268	34.8	44.2
NC_080600.1	1	44359421	2535654	44139720	99.5047	13.2688	34.8	46.3
NC_080601.1	1	39273983	2293189	38992887	99.2843	13.6248	34.8	49.5
NC_080602.1	1	28492116	1622259	28212014	99.0169	13.3168	34.7	42.3
NC_080603.1	1	28002281	1549735	27861634	99.4977	13.0169	34.8	54
NC_080604.1	1	22576299	1278295	22500321	99.6635	13.3398	34.8	56.3
NC_080605.1	1	22481186	1265441	22410591	99.686	13.1859	34.7	53.8
NC_080606.1	1	20337689	1134527	20274679	99.6902	13.1398	34.8	57.2
NC_080607.1	1	19942864	1291703	19813666	99.3522	15.0186	34.8	45.6
NC_080608.1	1	18829917	1075803	18748495	99.5676	13.4351	34.8	57.5
NC_080609.1	1	17718754	1132589	17667150	99.7088	15.0434	34.8	54.1
NC_080610.1	1	15993217	945538	15924193	99.5684	13.7825	34.7	53.4
NC_080611.1	1	13147743	794938	13057140	99.3109	14.1041	34.7	53.8
NC_080612.1	1	12882169	785943	12824005	99.5485	14.1898	34.7	51.2
NC_080613.1	1	12454605	747617	12211716	98.0498	13.9955	34.7	55
NC_080614.1	1	10553010	646135	10446534	98.991	14.168	34.7	44.8
NC_080615.1	1	9378704	560790	9157635	97.6429	13.7293	34.6	51
NC_080616.1	1	8927691	654678	8604704	96.3822	14.762	34.2	40.5
NC_080617.1	1	8120544	488932	8040392	99.013	13.8138	34.6	53.3
NC_080618.1	1	8025706	489943	7829936	97.5607	13.6743	34.5	38
NC_080619.1	1	7633124	479606	7517435	98.4844	14.019	34.5	47.1
NC_080620.1	1	6574567	415724	6500579	98.8746	14.4344	34.6	53.5
NC_080621.1	1	6473977	394104	6297028	97.2668	13.2294	34.4	31.2
NC_080622.1	1	5774740	381330	5669391	98.1757	14.4831	34.4	46.5
NC_080623.1	1	5330327	316178	5222179	97.9711	12.6364	34.2	45
NC_080624.1	1	4945601	300310	4844465	97.955	11.7666	34	36.5
NC_080625.1	1	4849416	336406	4323951	89.1644	15.1754	34.4	42.1
NC_080626.1	1	4512749	299321	4037001	89.4577	14.14	34.3	34.6
NC_080627.1	1	2596542	241591	2464238	94.9046	15.0485	33.5	28.5
NW_026682903.1	1	51867	3129	50939	98.2108	10.8069	33.1	50.8
NW_026682904.1	1	41887	1732	35637	85.0789	6.60501	32.7	31.7
