#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080593.1	1	157152855	6748735	156089709	99.3235	10.0647	34.7	55.9
NC_080594.1	1	122006711	5262323	121102760	99.2591	10.0989	34.7	54.5
NC_080595.1	1	119294532	5369884	118592859	99.4118	10.4844	34.7	53
NC_080596.1	1	78532051	3344819	78012532	99.3385	9.97783	34.7	53.9
NC_080597.1	1	78443464	3354417	77707110	99.0613	9.99953	34.7	53.8
NC_080598.1	1	66577810	2949389	66100997	99.2838	10.3494	34.7	53.6
NC_080599.1	1	48796610	2262718	44439124	91.0701	10.7319	34.8	42.7
NC_080600.1	1	44359421	2295586	44076321	99.3618	12.012	34.8	43.8
NC_080601.1	1	39273983	2048655	38702775	98.5456	12.146	34.8	46.3
NC_080602.1	1	28492116	1326964	27997126	98.2627	10.8897	34.8	42.1
NC_080603.1	1	28002281	1311984	27814267	99.3286	10.9975	34.8	52.6
NC_080604.1	1	22576299	1055685	22488256	99.61	10.9903	34.8	55.7
NC_080605.1	1	22481186	1051327	22384865	99.5715	10.94	34.7	53.2
NC_080606.1	1	20337689	932360	20256396	99.6003	10.769	34.8	56.5
NC_080607.1	1	19942864	1098647	19825609	99.412	12.7356	34.8	42.4
NC_080608.1	1	18829917	867762	18698107	99.3	10.8219	34.8	57.4
NC_080609.1	1	17718754	874689	17644607	99.5815	11.5902	34.8	54
NC_080610.1	1	15993217	758213	15909005	99.4735	11.035	34.8	52.4
NC_080611.1	1	13147743	638263	13035067	99.143	11.3003	34.8	53.1
NC_080612.1	1	12882169	639319	12809724	99.4376	11.5219	34.7	48.9
NC_080613.1	1	12454605	600904	12196991	97.9316	11.2414	34.8	53.5
NC_080614.1	1	10553010	512768	10421029	98.7494	11.2432	34.7	44.7
NC_080615.1	1	9378704	464411	9138066	97.4342	11.3646	34.7	49.1
NC_080616.1	1	8927691	516413	8578306	96.0865	11.7005	34.3	38.8
NC_080617.1	1	8120544	388472	8027724	98.857	10.9968	34.6	51.2
NC_080618.1	1	8025706	385160	7810761	97.3218	10.802	34.6	37
NC_080619.1	1	7633124	380373	7516530	98.4725	11.1349	34.6	44.7
NC_080620.1	1	6574567	317036	6478511	98.539	10.9653	34.6	51.6
NC_080621.1	1	6473977	306747	6212622	95.963	10.2621	34.5	29.9
NC_080622.1	1	5774740	285827	5542961	95.9863	10.8132	34.4	44.4
NC_080623.1	1	5330327	256943	5190764	97.3817	10.3348	34.3	42.8
NC_080624.1	1	4945601	251412	4741700	95.8771	10.0849	34.2	33.7
NC_080625.1	1	4849416	291239	4350365	89.709	13.0193	34.5	40.4
NC_080626.1	1	4512749	245188	4007773	88.81	11.6254	34.4	33.8
NC_080627.1	1	2596542	205254	2423823	93.3481	13.4483	33.7	28.2
NW_026682903.1	1	51867	1891	48561	93.626	6.57499	33.2	51.5
NW_026682904.1	1	41887	1274	35452	84.6372	4.88579	32.9	31.8
NC_080628.1	1	2074683	94483	1953386	94.1535	9.01311	33.9	43.3
NC_080629.1	1	1203310	47570	1120300	93.1015	6.97878	33.3	42.7
NC_080630.1	1	1088616	47878	1016754	93.3988	7.7392	33.3	41.6
NW_026682905.1	1	39931	1569	36250	90.7816	6.00508	32.9	36.8
NW_026682906.1	1	32408	1091	26142	80.6653	5.14919	32.4	39.7
NC_080631.1	1	884548	36990	839384	94.8941	7.89886	33.5	46.6
NC_080632.1	1	88477388	2111533	83898094	94.8243	5.44893	34.7	47.3
NW_026682907.1	1	730054	73364	728335	99.7645	22.9679	34.6	1.21
NW_026682908.1	1	659752	40001	571035	86.553	12.4557	34.8	3.31
NW_026682909.1	1	610003	45802	605446	99.253	16.8389	34.5	3.9
NW_026682910.1	1	516507	28869	513371	99.3928	12.7713	34.5	9.36
NW_026682911.1	1	503398	60651	484184	96.1831	27.3975	34.7	1.32
NW_026682912.1	1	502746	61394	502058	99.8632	27.9901	34.7	1.48
NW_026682913.1	1	502108	35588	480973	95.7907	14.7871	34.8	4.81
NW_026682914.1	1	496294	42163	375423	75.6453	19.0605	34.7	0.699
NW_026682915.1	1	496247	15187	469045	94.5185	6.75768	34.5	1.85
NW_026682916.1	1	494937	28658	481422	97.2693	13.3847	34.5	2.68
NW_026682917.1	1	493150	44984	489889	99.3387	19.5461	34.9	5.64
NW_026682918.1	1	486754	37180	484385	99.5133	17.4315	34.5	3.71
NW_026682919.1	1	482258	55946	479123	99.3499	26.1212	34.6	1.29
NW_026682920.1	1	479995	55059	478256	99.6377	25.7814	34.6	0.992
NW_026682921.1	1	455874	47699	454277	99.6497	23.5954	34.7	1.42
NW_026682922.1	1	447972	58592	447280	99.8455	30.0243	34.5	1.93
NW_026682923.1	1	447909	53527	447069	99.8125	27.1478	34.6	1.14
NW_026682924.1	1	443965	47162	434560	97.8816	23.0967	34.6	0.857
NW_026682925.1	1	440460	78705	436524	99.1064	40.8418	34.5	1.53
NW_026682926.1	1	424846	67594	421901	99.3068	36.4383	34.5	1.99
NW_026682927.1	1	420859	45404	411219	97.7094	24.2055	34.5	0.938
NW_026682928.1	1	409402	40500	400581	97.8454	22.4323	34.4	0.958
NW_026682929.1	1	404735	24783	401172	99.1197	14.0381	34.5	4.91
NW_026682930.1	1	403002	69410	402080	99.7712	39.134	34.5	3.07
NW_026682931.1	1	400251	44524	396389	99.0351	24.4147	34.9	3.63
NW_026682932.1	1	379196	28460	359169	94.7186	15.531	34.6	1.5
