#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_080633.1	1	155447619	6828055	154400771	99.3266	10.1392	34.8	56.2
NC_080634.1	1	120722141	5353234	119591297	99.0633	10.294	34.8	54.3
NC_080635.1	1	115508148	4932928	114871502	99.4488	9.9319	34.8	57.8
NC_080636.1	1	76633907	3481013	76018660	99.1972	10.5007	34.8	53.1
NC_080637.1	1	74723840	3399360	74162498	99.2488	10.5412	34.8	53.9
NC_080638.1	1	65395694	3301532	64735925	98.9911	11.4795	34.8	48.9
NC_080639.1	1	40159020	1823883	39880884	99.3074	10.5731	34.9	54.9
NC_080640.1	1	39623761	2060949	39321833	99.238	11.9069	34.9	47.5
NC_080641.1	1	36565514	1964449	35461246	96.98	12.3449	34.9	48
NC_080642.1	1	27615464	1289623	27438205	99.3581	10.845	34.9	54.4
NC_080643.1	1	22630956	1190126	22479332	99.33	12.1647	34.9	50
NC_080644.1	1	22262677	1866155	20644846	92.733	18.7228	34.8	28.3
NC_080645.1	1	21551278	1026481	21435015	99.4605	11.0553	34.9	55.3
NC_080646.1	1	21049297	1054037	20955099	99.5525	11.6159	34.9	54.7
NC_080647.1	1	20566687	1051128	20491323	99.6336	11.8228	34.9	51.5
NC_080648.1	1	19511261	973409	19373613	99.2945	11.4972	34.9	52
NC_080649.1	1	18006652	971148	17942833	99.6456	12.499	34.9	51.2
NC_080650.1	1	14921164	709752	14836603	99.4333	10.9528	34.9	56
NC_080651.1	1	12555122	611879	12428616	98.9924	11.1508	34.9	55.1
NC_080652.1	1	12239593	630592	12170536	99.4358	11.4873	34.8	52.7
NC_080653.1	1	12036358	599046	11962040	99.3826	11.4224	34.9	52.9
NC_080654.1	1	9592563	530074	9446399	98.4763	12.5932	34.8	44.9
NC_080655.1	1	8416863	518024	8119308	96.4648	12.7173	34.2	39.4
NC_080656.1	1	8296844	420606	8194484	98.7663	11.4434	34.8	53.8
NC_080657.1	1	7670679	384275	7586878	98.9075	11.1876	34.8	53.9
NC_080658.1	1	7190956	407958	7065180	98.2509	11.8004	34.5	42.2
NC_080659.1	1	6772285	349784	6680255	98.6411	11.2646	34.7	48.2
NC_080660.1	1	6625760	435034	6437117	97.1529	12.7303	34.3	33.9
NC_080661.1	1	5159369	533874	4945774	95.8601	22.3307	34.9	26.7
NC_080662.1	1	4987572	246829	4881708	97.8774	10.6687	34.6	52.8
NC_080663.1	1	4462882	259353	4357309	97.6344	11.9295	34.7	35.1
NC_080664.1	1	3987155	233434	3764021	94.4037	11.8061	34.6	33.1
NC_080665.1	1	3511113	306088	3469169	98.8054	19.6731	34.9	22.6
NC_080666.1	1	2644149	317745	2544569	96.2339	23.9277	34.8	23.6
NC_080667.1	1	2575056	191393	2537549	98.5434	14.024	34.6	28.1
NC_080668.1	1	21546180	158431	3888549	18.0475	1.42741	34.8	13.8
NC_080669.1	1	89147626	4069618	86886426	97.4635	10.482	34.8	48.2
